model_id,model,estimated_capability
22,LLaMA-7B,"[0.95262283, -1.1967921, 0.14599723, 0.103078924, -1.0281625, 0.12166307, 0.4414536, -0.1488831, 0.10335139, -0.40350336, -0.3739546, -2.4186842, 0.2625412, -1.3631123, -0.2056029, 0.7537076, 0.6596633, -0.24210012, -0.206429, -0.557961]"
23,Llama-2-13b,"[-0.12867278, -2.689968, 0.40999174, 0.11818585, -0.6136896, 0.3786937, 0.1987694, 0.19453867, -0.27117962, -0.19037808, 0.57775384, -0.56225204, -0.29942378, -1.1828985, -0.59590137, 0.105032615, -0.37067428, 0.17295074, 0.21793951, -0.10701025]"
24,Llama-2-34b,"[-0.099916235, -2.9463217, 0.13964385, -0.23572686, -0.4778366, 0.33957896, -0.17013866, 0.19378461, 1.1424538, -0.13744314, 1.1709142, -0.7272643, 0.55293196, 0.21108517, -0.54404193, 0.36500955, -0.2549638, 0.6560697, 0.7498797, -0.739543]"
25,Llama-2-70b-hf ,"[-0.5781772, -1.9828335, -0.14044029, -0.08609337, 0.4739174, 0.103471436, -0.22971843, 0.13915913, -0.49139285, 0.0055098683, -0.08936324, 0.3537541, -0.27817175, -0.3064299, 0.34158498, -0.26338586, -0.23677091, 0.43284434, 0.08870625, 1.6540214]"
26,Llama-2-7b,"[0.023788072, -2.8471308, 0.49804473, 0.0496362, 0.5466424, -0.47336224, 0.35702485, 0.2183766, 0.38832185, -0.17926927, -1.3024461, -1.5364337, 0.058566917, -1.0032866, 0.7768389, 0.5311522, -0.3361635, 0.050664373, 1.116137, 0.8090973]"
27,Llama-3.1-405B,"[0.019642338, -0.3525676, 0.27670214, 0.6437709, 0.36027178, -0.046796877, 0.11153463, -0.079296835, -0.22449441, -0.24974753, 0.29189116, 1.3068386, 0.3967698, 0.35400903, -0.5943739, 0.136495, -0.0498167, 0.7892587, -0.5054022, 0.6329525]"
28,Llama-3.1-405B-Instruct,"[0.18087912, 0.96276736, 0.34834287, 0.16475075, -0.08249093, 0.051262666, 0.5340399, 0.2341208, 0.37908962, -0.19962882, -0.99338037, 1.0631834, 0.3734005, 0.07761454, 0.5806065, 0.23870935, -0.41405892, 0.22531465, -0.23466507, 0.47832295]"
29,Llama-3.1-70B,"[0.054651797, -0.7863878, -0.77122647, 0.60558206, 0.81494236, 0.07749289, 0.028635725, 0.2823331, 0.39517757, -0.1011102, -0.87642497, 1.1192036, 1.2629092, -0.23294896, 0.48087305, -0.45408744, -0.13710576, 0.51893026, 0.579847, -0.14561014]"
30,Llama-3.1-70B-Instruct,"[-0.08583527, 0.79330546, -0.08289039, 0.22893073, 0.31087685, -0.3781724, 0.69281465, 0.13573274, 0.38607004, -0.041588288, -1.9911461, 1.4457948, 0.5459241, -0.24066432, -0.163456, 0.4419597, -0.233087, -0.280175, 0.22893949, -0.29212016]"
31,Llama-3.1-8B,"[0.5477099, -1.5406221, -0.04958544, 0.08486634, 0.1279735, -0.8005691, 1.6127342, 0.6079387, -0.11425228, 0.10586572, -0.70858455, 0.66576296, 0.2489991, -2.0643318, 0.4966378, -0.61375445, -0.2891771, -0.85299134, 0.9818669, 1.731035]"
32,Llama-3.1-8B-Instruct,"[0.28375494, -0.1873483, 0.12548316, -0.0634571, 0.19605479, -0.020405734, 0.4944554, -0.05764626, 0.22382842, 0.19961944, -2.8018165, 1.0188923, 0.32009017, -1.5928767, 0.45186806, -0.029169628, -0.05543791, -0.3139836, -0.07791067, 0.013376116]"
33,Llama-3.2-11B-Vision-Instruct,"[0.14843713, -0.10106246, 0.38326928, -0.16050692, 0.13323462, -0.18842305, 0.4769262, 0.0585667, 0.9341567, 0.21526323, -2.4545565, 0.7916122, 0.45021948, -0.61780864, 0.43199453, -0.33686775, -0.058063805, -0.036113515, -0.23143023, 0.0065852636]"
34,Llama-3.2-90B-Vision-Instruct,"[0.17428069, 0.52626485, 0.210113, 0.77309847, -0.336585, 0.74672294, 0.11414617, 0.4019224, -1.2868136, 0.13052468, -2.0042517, 0.11882982, 0.653346, 0.8877297, 0.5036028, -0.38930967, -0.11972637, 0.29691532, 0.36973396, 0.53267384]"
35,Llama-3.3-70B-Instruct,"[0.17405587, 0.9139078, 0.17448057, -0.09993626, -0.32140672, -0.03349034, 0.8279482, -0.33816022, 0.81491196, -0.0054448224, -1.6026726, 0.5804762, 0.5657206, 0.23194055, 0.15482175, -0.0038406341, -0.28460112, 0.1012997, -0.020653285, -0.26839253]"
36,Llama-4-Maverick-17B-128E,"[0.08780046, -0.20610857, 0.4540635, -0.057358403, 0.13312438, -1.1068029, -0.06310314, 0.5036672, -0.26449174, 0.0971152, -0.32023352, 0.7353121, 0.21157646, 0.5449537, -0.012649289, 0.310929, 0.22233823, 0.47293547, -0.037942268, -0.08358628]"
37,Llama-4-Maverick-17B-128E-Instruct,"[0.11200249, 0.8674949, 0.2679894, 0.25376678, 0.094339296, -0.08750888, 0.6570476, 0.32447863, 0.5299291, 0.046968374, -0.7508669, 0.651362, 0.07987776, 0.5342771, 0.50283676, 0.042141072, 0.37112448, -0.065395474, -0.9589046, 0.12708244]"
38,Llama-4-Scout-17B-16E,"[0.550861, -0.4869164, 0.10174041, 0.96004146, 0.094415344, 0.10795411, 0.0038738998, -0.1939107, 0.05554544, -0.15295807, -1.4884231, 0.116988406, 0.055032548, -0.05403317, -0.06281902, -0.15427665, -0.023032494, 0.24398263, 0.11567205, 0.62055844]"
39,Llama-4-Scout-17B-16E-Instruct,"[-0.1358604, 0.7344856, 0.3129279, -0.14781803, 0.31659725, 0.15059538, 0.5167197, -0.08220485, 0.01667891, -0.19874895, -0.97898126, 0.7956547, 0.04959567, 0.047886968, 0.16597874, 0.27204147, 0.068050295, -0.29402792, -2.3490026, 0.15475176]"
40,LongCat-Flash-Chat,"[-0.44406173, 1.1154326, 0.31752062, -0.15997812, -0.16202763, -0.07411271, 0.40578422, -0.14710236, 0.6556099, -0.11086556, 1.7324426, 0.5679727, 0.26522905, 1.0670353, -0.3312213, 0.38745254, 0.15516959, 0.052291732, -0.14015049, 0.10542437]"
41,LongCat-Flash-Lite,"[-0.6134972, 0.53863144, -0.023624495, 0.8604229, 0.2670878, -0.72485524, 0.050337564, 0.49901158, -0.50483525, 0.03639463, 0.97651607, 0.3667704, -0.114828035, 0.8442029, 0.3720242, 0.83191216, 0.013415475, -0.18324241, 0.19438352, 0.8650734]"
42,LongCat-Flash-Thinking,"[0.2063187, 0.6543874, 0.22173597, -0.36329943, -0.023804637, -0.67532676, 0.47750786, 0.14910923, -0.11168371, 0.083373904, 3.0201802, 0.6853546, -0.1550374, 1.3244734, -0.044108905, -0.30287433, 0.35196748, -0.33873224, 0.1482316, 0.049810424]"
43,Meta-Llama-3-70B,"[0.606253, -0.52796453, -0.2994595, 0.8739436, -0.30927804, 0.50076556, -0.25882274, 0.6330882, 0.30265337, -0.06821428, -0.70639324, 0.6213893, -0.38526314, -1.1704437, -0.048828524, -0.20187964, 0.17630643, 0.032307737, -0.015472367, 0.19135836]"
44,Meta-Llama-3-70B-Instruct,"[-0.8716387, 0.09468156, -0.46188885, -0.17704341, 0.6450016, -0.15036786, 0.64655614, -0.14103003, 0.77648807, -0.56273013, -1.1223899, 1.2226701, 0.14494555, -1.2917733, 0.53084534, 0.45886797, -0.4885195, 0.38443023, -1.0103244, -0.03080068]"
45,Meta-Llama-3-8B,"[-0.23740666, -1.3484863, 0.12818694, 0.05961935, -0.3557455, -0.11779058, 0.33259088, 0.24530151, 0.30809113, 0.07217374, -0.93418425, -0.25371966, 0.1726836, -1.9122661, 0.35505676, -0.2280389, -0.037792068, 0.45688066, 0.42573923, -0.38991034]"
46,Meta-Llama-3-8B-Instruct,"[0.21386617, -0.5126003, 0.2623444, -0.5125001, 0.5029914, 0.5912176, 0.36575627, -0.050097756, 0.9824196, 0.85840523, -3.3118958, 0.7980192, -0.09197811, -1.6260097, -0.1253954, 0.24473329, 0.36792853, -0.070945986, 1.0823294, -0.3095019]"
47,MiniMax-M1-40K,"[0.36205867, 0.5638985, 0.20574342, 0.24289511, 0.10162152, 0.14868055, 0.63887244, 0.15410595, 0.8473131, -0.13531287, 1.8511122, 0.9485058, 0.1261963, 0.6183936, 0.6448973, 0.20331317, 0.13676679, 0.23544918, -0.42414558, 0.074467696]"
48,MiniMax-M1-80k,"[0.636429, 1.0920217, 0.30100828, -0.4369854, 0.39428303, 0.5695488, -0.12610513, 0.31331757, 0.14101872, 0.2195449, 2.0769463, 0.8634417, -0.23929839, 0.41613337, -0.13670559, 0.22578155, -0.21645966, 0.23155248, -0.10727916, 0.5774973]"
49,MiniMax-M2.1,"[0.2919453, 0.676834, 0.31963146, 0.2241626, 0.35067695, -0.3183767, 1.2175456, -0.3539807, -0.70393276, 0.5033332, 1.5902044, 1.1078314, 1.2645254, 2.2895455, -0.07684795, 0.81709033, 0.36003694, -0.30423242, 0.6292542, 0.57771957]"
50,Ministral-8B-Instruct-2410,"[-0.2651753, -1.0557454, 0.102583565, 0.47038415, 0.2088545, 1.1642964, -0.30911723, 0.2688152, 0.580163, -0.5168891, -4.70884, 0.29357374, 0.16208202, 0.7829275, -0.09781573, 0.3548597, -0.112575926, 0.011123648, -0.22565742, 0.1908718]"
51,Mistral-7B-Instruct-v0.1,"[-0.35344, -1.611347, 0.91437906, 1.4798605, 0.47944453, -0.08204892, -0.06278988, 0.32111534, 0.82003534, 0.10428563, -0.09705393, 0.32618147, 1.5383365, -2.4545083, 0.45492223, 0.91664696, -0.1316894, -0.047181666, -0.26435328, -0.33400893]"
52,Mistral-7B-v0.1,"[0.43172476, -1.8769801, 0.21769139, 0.3908986, 1.2782727, 0.60973316, 0.22658738, -0.6259133, 0.29994658, 0.62004054, 0.29574785, 0.070155635, 0.30561572, -1.7549983, -0.12082628, 0.80196595, 0.44442475, -0.22503307, 0.1587827, -0.065250516]"
53,Mistral-7B-v0.2,"[-0.06774947, -1.7018116, -0.025655653, -1.2046481, 0.06096405, 0.25689363, 0.71155596, -0.3647297, 0.24419424, -0.3320723, -0.93241334, 0.4565611, 0.15410022, -2.2621186, -0.05739065, -0.10279644, 0.17667875, 0.039029796, 0.97842515, -0.7915803]"
54,Mixtral-8x22B-Instruct-v0.1,"[0.5951271, 0.2994258, 0.54688853, 0.21097353, -0.303455, 0.40664378, 0.09086731, -0.19501793, -0.6247379, -0.3002446, -3.9076595, 1.2421522, 0.2884593, -1.2302872, -0.44684017, 0.00061666255, 0.1418269, 0.026290512, 0.34009972, 0.36481398]"
55,Mixtral-8x22B-v0.1,"[-0.024953788, -0.88257426, 0.3995911, -0.13340908, -0.07712457, 0.8027956, 0.34972915, 0.41187316, 0.047486477, 0.33367434, 0.08230302, 0.94639456, 1.0013005, -1.3409226, -0.6264571, 0.44886148, 0.008511059, 0.14421156, 0.05223625, 0.25956973]"
56,Mixtral-8x7B-Instruct-v0.1,"[-0.0026922214, -0.92076457, 0.006315198, -0.07968709, -0.5041513, 0.006071223, 0.036137097, 0.34102684, 0.5754268, -0.3342996, -4.056045, 0.0563971, 0.5767955, -0.1824764, -0.2579032, 0.031917885, 0.6854343, 0.050138548, 0.2127251, 0.6256582]"
57,Mixtral-8x7B-v0.1,"[0.3635229, -1.0573468, -0.3992893, 0.16616833, 0.057544682, -0.044557, 0.34896973, 0.69982314, -0.6300994, 0.897646, -0.84376043, 0.31213072, -0.1092687, -1.6983416, 0.20840603, 0.13785966, 0.4292406, 0.15785526, 1.046462, 0.4718235]"
58,Phi-3-medium-128k-instruct,"[-0.011205928, -0.2340191, 0.03640206, -0.17490534, -0.083967015, 0.6282395, -0.35220847, 0.0867209, 0.42930785, 0.88728034, -2.6818323, 0.782323, 0.25334275, -1.4745735, -0.12620431, 0.05078948, -0.42839408, 0.49028736, -0.33555195, 0.1555509]"
59,Phi-3-mini-4k-instruct,"[-0.07340021, -0.19071802, 0.29160756, -0.3619378, 0.9686331, 0.22158276, 0.8271914, -0.016441772, -0.22995442, 1.0292721, -1.793271, 0.78784573, -0.19177507, -2.3501031, -0.3039415, 0.04926205, 0.2398693, 0.030797936, 0.6162564, 0.14050761]"
60,Phi-3-small-8k-instruct,"[-0.5606541, 1.218732, 0.46138868, -0.14920804, -0.22598, 0.3079298, 0.5990581, -0.076142766, 0.24130034, 1.0118768, -0.7327253, 0.3847423, 0.69885826, -2.2589083, -0.12966646, 0.4880071, 0.33369806, 0.51817983, 0.35194662, -0.11816914]"
61,Phi-3.5-MoE-instruct,"[0.2686395, 0.24422055, 0.45600894, 0.10242744, 0.14513673, -0.26355538, 0.9497016, 0.45845217, -0.55207497, 0.29478768, -1.276504, 1.0717309, 1.247307, -1.5057778, -0.55097395, 0.2109982, 1.1078948, 0.48072985, 0.8176303, 0.2877839]"
62,Phi-3.5-mini-instruct,"[-0.02763977, -0.10099345, -0.31424233, 0.28212193, -0.09545792, 0.31619975, -0.1699436, 0.3626703, 0.83441365, 0.068679586, -3.095974, 0.98743623, 0.025064757, -1.9794686, 0.19586292, -0.21422006, -0.072762, 0.16585265, 0.40094587, 0.14632617]"
63,Phi-4-mini-instruct,"[-0.2910537, 1.127924, 0.18952906, -0.04948066, 0.5067149, 0.120889135, 0.5543051, 0.07208755, 0.55492103, -0.04453624, -2.887349, 0.68078184, 0.28737327, -1.9626061, 0.38649404, 0.10907249, 0.28335962, -0.19796893, -0.4562561, -0.2774225]"
64,QwQ-32B,"[0.3143103, 0.206777, 0.07259515, 0.36834195, -0.059189145, 0.6194542, 0.3030498, 0.12769353, 0.63901955, 0.17127444, 1.6735055, 0.48495686, 0.36521578, 0.46054628, 0.0019627672, -0.11570263, 0.25397557, 0.2655035, -0.14768904, 0.06220095]"
65,Qwen1.5-1.8B,"[0.24857989, -2.8156643, -0.15207344, 0.33246598, 0.3298713, 0.06968979, 0.64931744, 0.20724, 0.66770685, 0.15708695, -0.12219678, -1.8667911, -0.07105888, -1.5195749, -0.051589932, 1.0349365, -0.20243111, 0.41137388, -0.7289008, -0.00429833]"
66,Qwen1.5-110B,"[0.40283677, -0.67497265, 0.660184, 0.4638836, 0.10702958, 0.19845375, -0.5231411, 0.13073865, -0.16077818, 0.2707282, -0.86238307, -0.010716209, -0.2035095, 0.58010596, 0.30358967, -0.298445, 0.28794256, 0.7131177, -0.4882595, -0.32394567]"
67,Qwen1.5-72B,"[-0.027968612, -0.9620216, -0.19767115, 0.4482222, 0.6876759, 0.5636942, 0.5182932, 0.20317537, -0.23254216, 0.24268217, -0.952013, 0.11553694, 0.83236027, 0.10098345, 0.106807, 0.3965557, -0.4533053, 0.09126549, 0.09920424, -0.5676886]"
68,Qwen1.5-7B,"[-0.13100977, -1.6289817, 0.15999995, 0.07124752, 0.43852788, -0.44508776, 0.41393176, -0.18924753, -0.15426941, 0.3842828, -1.3188101, -0.7307734, -0.0021959012, -1.2247721, -0.00049387926, -0.27067444, -0.23009737, 0.09565323, -0.17768802, 0.66844004]"
69,Qwen2-0.5B,"[0.12582567, -2.3169, 0.39866027, -0.21769637, -0.19191442, 0.34796712, 0.18904656, -0.26304352, -0.027586937, 0.45151892, 0.026950259, -1.3236309, 0.0917196, -2.3474278, 0.5733082, -0.066516235, -0.0052336627, -0.027488872, 0.5830558, 0.12760349]"
70,Qwen2-0.5B-Instruct,"[0.16910923, -1.3709234, 0.21013857, -0.31845924, -0.07289242, 0.3334877, -0.29641983, -0.12828542, 0.6179962, -0.11680799, -0.16866557, 0.081990026, 0.51138777, -6.081901, 0.020625584, -0.29138294, -0.03250667, 0.20346366, -0.49774793, -0.38950813]"
71,Qwen2-1.5B,"[0.75107193, -1.5813378, -0.21744633, -0.42510295, 0.88442844, 0.06945398, -0.21468595, 0.18549094, 0.72205275, -0.6219058, -0.5640576, -1.016359, -0.112695284, -1.5999463, -0.1441281, -0.29296407, -0.19059426, -0.7477311, -0.03187404, -0.18831885]"
72,Qwen2-1.5B-Instruct,"[0.29304388, -1.041655, 0.6236566, 0.2993987, 0.13860798, 0.058737773, 0.062384423, -0.4292696, -0.13813819, 0.30398896, -2.087761, 0.32093978, 0.19448069, -3.95371, 0.79019594, -0.029433222, -0.3154404, -0.37147006, 0.27467647, -0.47787717]"
73,Qwen2-57B-A14B,"[0.7964361, -0.8121531, 0.23984748, -0.08178185, 0.28393933, -0.36943746, 0.5144848, -0.56975806, 0.6231501, 0.014126984, -0.87168854, -0.22151916, 0.26012212, 0.22345757, 0.2821559, -0.26394936, 0.60501707, 0.31683028, -0.061385807, -0.4789877]"
74,Qwen2-57BA14B-Instruct,"[0.119253136, 0.5876785, 0.2541068, -0.06070601, 0.28569496, 0.3881603, 0.25248593, -0.27509665, 0.87522143, -0.2939522, -1.5001551, 0.6066354, 0.081813686, -2.1413593, 0.32635015, 0.31119353, 0.32438138, -0.2543061, -0.20433994, -0.17426302]"
75,Qwen2-72B,"[-0.5277506, -0.28181097, -0.16176467, -0.32158738, 0.22604308, 0.50592, -0.24241969, 0.20896293, 0.26386264, 0.42652583, -1.2569993, 0.33936405, 0.24562003, 0.16334982, -0.17225662, 0.046460696, 0.04061556, 0.3287078, 0.34200543, 0.10311042]"
76,Qwen2-7B,"[-0.15549356, -0.6639026, 0.3085061, 0.8374203, 0.16797794, -0.38463968, -0.06832083, 0.511316, 0.36968562, 0.1359327, -0.8429993, -0.34899348, 0.3734384, -0.720763, -0.1254847, 0.21656957, -0.278041, 0.46378857, -0.4693571, 0.17551807]"
77,Qwen2.5-0.5B,"[-0.012994106, -1.6063282, 0.31550786, -0.1663283, 0.046425406, 0.1422538, 0.8664583, 0.049683753, -0.1443777, 0.06730025, -1.3342291, -1.3887073, 0.028700955, -3.2638793, 0.039204802, -0.33982837, -0.11751428, 0.2749769, -0.20709233, -0.092132546]"
78,Qwen2.5-0.5B-Instruct,"[0.022376115, -1.1240348, 0.038234137, 0.24715577, 0.05313373, 0.08390512, 0.40058696, -0.2787769, 0.34291613, -0.10830887, -1.0574721, -0.84575236, -0.004361079, -4.039609, -0.074295364, 0.15213743, 0.17363165, -0.23789342, -0.9032413, 0.37943813]"
79,Qwen2.5-1.5B,"[-0.17860417, -1.4326477, 0.26090682, -0.07761845, -0.1582706, 0.3222989, -0.18374215, -0.18834592, -0.23511623, 0.32747075, -0.47439876, -0.43476847, 0.35454932, -2.1286523, 0.4035494, -0.7316662, 0.06108337, 0.53094757, -1.0128883, 0.10555518]"
80,Qwen2.5-1.5B-Instruct,"[-0.1109726, 0.051937588, 0.26776916, 0.12476484, 0.1601718, -0.022696508, 0.09657809, 0.12466438, 0.13851342, -0.10074768, -3.0588038, 0.32981887, 0.22236356, -2.5426326, 0.25319, 0.284907, -0.021316266, 0.07880413, -0.1839794, 0.023981402]"
81,Qwen2.5-14B,"[0.070196725, -0.47673124, 0.0022821478, -0.080421746, -0.14364898, 0.13116552, -0.5947962, 0.067744546, 0.24096888, -0.12722716, -0.27010757, 0.63240457, 0.15205526, -0.25470653, 0.4316995, 0.041064885, 0.27530104, -0.055387426, -0.24628966, -0.49511215]"
82,Qwen2.5-32B,"[0.27147534, -0.120977744, -0.02704134, 0.19318585, 0.34422028, 0.70089334, 0.72165895, -0.25679427, 0.38636938, 0.117768526, 0.4797023, 0.40757388, 0.45730236, -0.12231371, -0.31090143, 0.43700534, -0.017571539, 0.43059424, -0.5599329, -0.06813774]"
83,Qwen2.5-3B,"[0.2256934, -1.0484827, -0.19298507, -0.5877042, -0.3363606, 0.27445367, -0.35397974, 0.03350204, 0.5597244, 0.15133923, -1.6646389, -0.11462575, 0.3566337, -1.72961, 0.3941839, 0.14873533, 0.31659696, 0.48131478, -0.69036174, 0.15867394]"
84,Qwen2.5-3B-Instruct,"[0.08782752, 0.21279295, 0.05546169, 0.036351155, 0.36353, 0.30522543, -0.06346943, 0.18654561, 0.31309927, -0.059910703, -2.182158, 0.3703365, 0.44393352, -1.9481848, 0.13264297, 0.05071438, 0.29536211, 0.13696553, -0.1703637, 0.15236999]"
85,Qwen2.5-72B,"[0.053615227, 0.136329, 0.4747047, 0.65391725, 0.23726644, -0.12799844, 0.28768718, 0.07392259, 0.0037637937, 0.26090348, -0.93373054, 0.6104014, -0.16473301, 0.38916832, 0.5316666, -0.09089929, -0.08758225, 0.42333633, 0.110224254, -0.32346448]"
86,Qwen2.5-7B,"[-0.303748, -0.44749594, 0.14364326, -0.9629417, 0.20629774, -0.08936698, 0.069236696, 0.21604514, 0.35831496, -0.6705883, -1.4510986, 0.06795194, 0.2665038, -1.0097153, 0.45262071, 0.33601916, 0.06320197, -0.35638356, 0.10219722, -0.03149714]"
87,Qwen2.5-Coder-32B-Instruct,"[0.28731465, 1.6652517, 0.3584981, -0.5596115, 0.10826664, 0.36650926, 0.51402783, -0.02004693, 0.3099601, -0.53285974, -1.9165995, 1.5390309, -0.32083562, -1.3397018, 0.6268452, 0.744148, -0.21983705, 0.1475426, -0.13355795, -0.11373921]"
