model_id,model,estimated_capability
0,Claude Mythos Preview,"[0.5281605, -0.16678938, 1.1458224, 0.13988858, 0.054463465, -0.8427632, 0.7830465, 0.015498856, -0.63356984, 0.28030524, 4.311862, 1.6475072, 0.4326893, 3.782705, 0.44627106, -0.27484295, 0.07275827, -0.117863044, 4.7643914, 1.3259954]"
1,DeepSeek-R1,"[0.21658671, 0.49566457, -0.31467503, -0.14319688, 0.46570313, 0.020410907, 0.13959983, -0.13999672, -0.027012018, 0.43591067, 1.6447309, 0.89597416, 0.53168714, 1.0038995, 0.34299675, 0.17351492, -0.072247826, -0.081758246, -0.8066789, -0.12732348]"
2,DeepSeek-R1-0528,"[0.21735269, 0.7991511, -0.67554206, 0.04933799, 0.15516728, -0.19300537, 0.89506894, -0.095675685, 0.1752483, 0.11053602, 1.4835265, 0.8974992, 0.638155, 3.574253, -0.081855655, 0.01786666, -0.10243974, -0.11815046, -2.3571453, -0.32657856]"
3,DeepSeek-R1-Distill-Llama-70B,"[0.514077, 0.82728875, 0.1140014, -0.005295274, 0.04745826, 0.023015572, 0.45006418, 0.25776428, 0.788787, 0.1713, 1.2495235, 0.51164335, 0.014991753, -0.65391773, -0.032156613, 0.2597139, 0.11281423, -0.38899297, -0.34905782, 0.02031424]"
4,DeepSeek-R1-Distill-Llama-8B,"[-0.017698132, 0.6480068, -0.0755082, 0.08603631, 0.17405751, 0.21166408, 0.5350669, -0.3916131, 0.41548142, 0.1776595, 0.72454864, 0.6914686, -0.10541719, -2.7396007, 0.4478274, -0.05695805, 0.24013393, -0.004202254, -0.6358555, -0.0020066076]"
5,DeepSeek-R1-Distill-Qwen-1.5B,"[0.20405412, 0.49344885, 0.1482481, -0.41926324, 0.25559077, 0.04731915, 0.07792956, 0.1916278, 0.25189716, 0.11943302, -0.010873784, 0.5374705, 0.34211135, -3.8375425, 0.19426626, 0.061921764, -0.02364999, -0.12510662, -0.4734975, -0.010395059]"
6,DeepSeek-R1-Distill-Qwen-14B,"[-0.22670646, 0.9404639, 0.045969483, -0.4677423, -0.023674043, 0.1508557, -0.017507505, -0.015917037, 0.35013786, 0.1944792, 1.0917437, 1.0591495, 0.12463175, -1.1315264, -0.15488882, -0.3520301, 0.15120259, -0.18904568, -0.4233651, 0.09715248]"
7,DeepSeek-R1-Distill-Qwen-32B,"[-0.21961613, 1.019659, 0.24774311, 0.07384051, 0.10121681, -0.29390582, 0.23553711, 0.44364578, 0.07933046, 0.32494986, 1.3750261, 0.5779099, 0.017445028, -0.72272974, 0.16663402, 0.13473643, 0.2908823, -0.44268522, -0.5648985, -0.35710883]"
8,DeepSeek-V2.5,"[-0.16892414, 0.994523, 0.23890546, 0.29575527, 0.6244092, -0.07461259, 0.10487417, 0.13247454, -0.067833245, 0.5897009, -1.9958102, 0.6799654, 0.5154219, 0.2286398, 0.5371138, -0.095401876, 0.36856255, 0.22328913, -0.31711125, -0.044434562]"
9,DeepSeek-V3,"[0.1339738, 0.5378044, -0.28021765, 0.4460668, 0.012920041, -0.14830306, 0.20265467, 0.41277668, 0.20213675, 0.1705817, -0.521525, 0.501302, 0.502598, 0.7970668, 0.671813, 0.2399471, 0.1757973, 0.16352868, -0.28506157, 0.21423768]"
10,DeepSeek-V3-0324,"[-0.30834943, 0.41120777, -0.21730335, -0.2667571, 0.14735107, -0.11079643, -0.032125503, 0.07835076, 0.05485469, -0.33164406, 0.38941506, 0.43266988, 0.30953497, 1.8730416, 0.05089394, 0.26567525, 0.23802517, -0.011572545, -0.378339, -0.68931115]"
11,DeepSeek-V3.1,"[0.11025096, 0.56263334, 0.15797037, 0.23917174, -0.15648748, 0.32369283, -0.041840833, 0.30687135, -1.2113941, -0.38658547, 0.41031522, 0.59427905, 0.7867142, 3.7934103, 0.41343325, -0.10125273, 0.060463443, 0.13934772, -0.94012576, 0.026230456]"
12,DeepSeek-V3.2-Exp,"[0.045347925, 0.16911225, -0.41314003, 0.50711596, 0.06873127, 0.14607844, -0.3464245, 0.37702402, -0.162794, 0.5426148, 1.0915644, 0.69563884, 0.060583804, 4.492329, -0.09824598, 0.41103953, -0.14038643, -0.18124722, -0.28776443, 0.072481364]"
13,GLM-4.5-Air,"[0.057826117, -0.0906511, 0.08034667, 0.36761436, -0.054570742, -0.301016, 0.0901597, 0.519002, -0.06662402, 0.21893585, 1.9265461, 0.9180245, -0.24311967, 1.9601322, 0.23717529, 0.36020264, -0.032377545, -0.09840569, -1.398448, 0.040331457]"
14,Gemini 1.0 Ultra,"[0.61320543, 0.06801704, -0.07747914, -0.27559865, 0.40627712, 0.16600162, 0.27670372, 0.39034134, 0.50300467, 0.08655668, -1.7327574, 0.7949932, -0.5000131, -0.17170739, 0.65016234, 0.31266454, 0.03820739, 0.18026976, -0.19432923, 0.0071563707]"
15,Kimi-K2-Base,"[0.8843681, 0.5259502, 0.66889465, -0.0843289, -0.5976596, -0.30302268, 0.20368437, 0.4365273, 1.0159909, 0.26692912, -0.9036787, 0.30630118, 0.19565628, 1.3243543, 0.46413854, 0.15998943, 0.78722334, 0.61502475, -0.16631976, -1.1681986]"
16,Kimi-K2-Instruct,"[-0.0013335072, 1.2527863, 0.383264, -0.07235781, 0.20324995, 0.22322479, 0.49741295, -0.5791409, 0.43969223, 0.04709067, 1.1704777, 0.94284844, 0.013691004, 1.020673, 0.076615036, 0.11640114, -0.024838403, -0.2472522, -0.5627225, -0.11679821]"
17,Kimi-K2-Instruct-0905,"[0.23613416, 1.1696995, 0.15821344, 1.0294279, 0.21810274, 0.37172446, 0.4611999, -0.15935683, 0.13815953, 0.26460218, 1.231934, 0.7737006, -0.14700386, 1.048598, 0.49285036, 0.47572157, 0.19433372, 0.50671864, -0.30579692, 0.47890037]"
18,Kimi-K2.5_thinking,"[0.24422544, 0.6142679, -0.037977498, -0.17478473, 0.4171406, -1.043908, 0.66796803, -0.13480599, -0.059310984, -0.07606487, 3.038408, 0.8904098, -0.10741516, 2.5893118, -0.21681486, 0.020926455, 0.23559567, 0.6875738, 2.0497968, 0.13363482]"
19,LLaMA-13B,"[0.66099197, -0.9683214, 0.99839526, -0.079109214, 0.19457987, -0.8075079, -0.51766926, 0.35172835, 0.20925803, -0.2012262, -0.038116436, -2.0718186, 0.45918307, -0.43862328, -0.019466305, 0.17805742, 0.9101139, -0.20551215, -0.3669431, -0.19624482]"
20,LLaMA-33B,"[0.0017806288, -2.3938158, -0.32043448, -0.33664292, -0.28910777, -0.10717228, 0.004713945, 0.2850861, -0.99128747, -0.1773722, 0.7445132, -0.7419021, -0.053322826, 0.062402006, -0.5489466, -0.44347954, 0.3307745, 0.6269614, 0.057550665, 0.32950297]"
21,LLaMA-65B,"[-0.13796651, -1.187699, -0.31515965, -1.0571098, -0.01228491, -0.17446858, -0.28137878, -0.00862817, 0.365372, -0.29470742, 0.45839733, -0.058318134, 0.6889491, -1.983609, -1.5039471, 0.43018025, -0.057755217, 0.88352543, -0.85337967, -0.13908105]"
