benchmark_id,benchmark_name,estimated_difficulty,slope,mask
0,AI2D,"[-0.16762866, 0.09520502, -0.63836306, -0.39248523, -0.073082455, 0.15837434, -0.4237171, -0.17738079, -0.76782024, 0.3558078, -0.4788239, -0.7183538, 0.17661288, -0.23040451, -38.791256, 0.017763073, -0.08230149, -0.5398542, -0.009660236, -0.4281129]",1.0,"[-9.122756958007812, 2.661529541015625, -10.213727951049805, -8.976127624511719, -9.27160930633545, -7.284465789794922, -8.538045883178711, -8.839329719543457, -9.72512435913086, -9.874356269836426, -9.984620094299316, 3.423992872238159, -9.348859786987305, 1.946696400642395, 4.469471454620361, -8.773056983947754, -10.044047355651855, -9.705679893493652, -7.027668476104736, -0.7683365345001221]"
1,AIME 2024,"[-0.20349102, -0.034655567, -0.12939034, -0.07157567, -0.15591903, 0.10831498, -0.18024664, -0.1984405, -0.46486163, -0.35491115, 0.18226495, -0.589199, 0.014356495, -98.96566, -0.4735867, -0.34909338, -0.060055275, -0.2939276, -0.22480327, -0.31755555]",1.0,"[-4.403716564178467, -7.321878433227539, -7.68900203704834, -4.611593723297119, -4.6061601638793945, -6.765660762786865, -4.642135143280029, -3.6634016036987305, -5.037481784820557, -5.906609535217285, 11.995445251464844, -5.127277851104736, -5.145334720611572, -2.7693727016448975, -4.326968193054199, -3.9278008937835693, -5.536181449890137, -5.56487512588501, -6.234368324279785, -2.0182301998138428]"
2,AIME 2025,"[-0.21026033, 0.48061618, -0.08547319, 0.29862612, -0.2170056, -0.127528, -0.1687416, -0.03669635, 51.99137, -0.10788223, 0.3959057, -1.407982, 0.0784131, 0.8961778, -0.15394327, -0.45250645, -0.12933387, -0.27694654, 0.28766334, 0.20400473]",1.0,"[-12.281370162963867, -12.837127685546875, -12.608259201049805, -12.702272415161133, -12.460431098937988, -12.827996253967285, -12.577704429626465, -12.037755012512207, -14.938767433166504, -12.505385398864746, 4.485576152801514, -11.704569816589355, -12.741386413574219, 2.9349000453948975, -12.305338859558105, -12.50407600402832, -12.57175350189209, -12.570409774780273, -12.346819877624512, -12.423619270324707]"
3,AIME 2026,"[0.7145035, -0.7086805, -0.38091418, -0.57736695, 1.022274, -0.7974656, 0.39189667, -23.159168, 0.051057808, -0.14139545, 1.3856627, -0.3887904, 0.13326508, 0.7776666, -0.07306776, 0.15549047, -0.32736287, 0.119021244, 0.99573004, 0.9301242]",1.0,"[-7.9103569984436035, -7.86724328994751, -7.225009918212891, -8.760734558105469, -7.369699478149414, -7.865894317626953, -8.809797286987305, 5.172224998474121, 1.8288764953613281, -0.4786408841609955, -5.716914176940918, -6.960251808166504, -8.38665771484375, -8.334290504455566, -8.007411003112793, -7.0144429206848145, -7.919433116912842, -8.42888355255127, 2.6465892791748047, -1.9695465564727783]"
4,ANLI,"[-0.14866011, -1.0724859, 0.55806196, -0.35916823, -0.7314964, -1.1969748, -2.3936305, -0.7546353, -1.009134, 0.7624011, -0.031181809, 0.6437242, -0.32710338, -1.0492829, 0.306951, 10.279342, -1.0410789, 0.25735474, 0.19221112, 2.0802329]",1.0,"[-4.00496244430542, 2.567841053009033, -0.5000353455543518, -1.8747261762619019, -1.681565523147583, -0.012289519421756268, 2.106004238128662, 1.5805104970932007, 1.1111431121826172, 0.9640386700630188, -0.23678919672966003, 2.620720386505127, -2.911527156829834, 1.8282192945480347, 2.721327543258667, -0.7527478933334351, 3.0687766075134277, 0.7565614581108093, 0.003107079304754734, 0.5665237903594971]"
5,ARC AI2,"[-0.6458089, -2.0426857, -0.13775414, -1.0529639, -10.031959, 0.0631977, 0.84961396, 0.047204453, -2.864073, -1.5687916, -3.1172829, -1.7339865, 0.62912923, 4.3418584, 0.10753735, -0.844696, 1.8173873, 0.54788285, 1.2266824, -0.34681326]",1.0,"[-9.49810791015625, 4.268681526184082, -8.310717582702637, -7.603816509246826, 0.08460643887519836, -8.903324127197266, -9.183736801147461, -8.082169532775879, -5.780650615692139, -6.338776588439941, -1.1875804662704468, 5.013238906860352, -8.488168716430664, -9.20052719116211, 1.101001262664795, -9.306112289428711, -9.471758842468262, -8.605435371398926, -9.868346214294434, -7.915674686431885]"
6,ARC-AGI,"[5.584752, 0.3707322, 0.30864564, 0.27247882, -0.15302722, 0.058566593, -1.6037954, -0.49381799, -0.2523518, 9.974365, 2.9226687, -0.66262406, 0.31068882, -0.0031961077, 0.5027142, -0.3634279, -1.0025687, -0.12578127, -1.426095, -0.55797833]",1.0,"[-1.5028671026229858, -8.506620407104492, -6.778457164764404, -8.298530578613281, -7.250878810882568, -8.312243461608887, -5.9808669090271, -7.635013103485107, -7.7172064781188965, 1.0569530725479126, 4.871748447418213, -8.469498634338379, -8.165457725524902, -0.9941184520721436, -8.280722618103027, -7.755619049072266, -7.680251121520996, -5.846452713012695, 3.9152846336364746, -5.495896816253662]"
7,Aider polyglot,"[-0.16340499, -0.8951071, -0.21533696, 1.6121737, 1.0037642, -0.34887698, -1.1259471, -0.25981557, -0.8679441, -0.91717285, 1.4578089, -0.4751727, -17.165276, 0.9596592, -1.3476951, -0.33199492, -0.48441982, -0.77006114, 1.4522837, -1.942555]",1.0,"[-9.824108123779297, -9.493496894836426, -9.398033142089844, -10.548605918884277, -9.670003890991211, -9.251852989196777, -8.362332344055176, -9.433680534362793, -9.774927139282227, -9.485428810119629, 4.02315616607666, -8.154647827148438, -7.74263334274292, 4.708953857421875, -9.551446914672852, -10.066064834594727, -9.535481452941895, -6.009127140045166, -7.163651466369629, -7.011907577514648]"
8,Arc-AGI,"[-0.42582414, 12.487669, 0.20210236, 0.49263188, 1.3543622, 1.1013706, 0.07461974, -0.3377431, 1.108397, 0.29546013, -0.63214326, 1.5682418, -1.1186429, -0.5242473, -1.5493927, -2.0292218, 0.97204894, 1.9178401, 0.45700535, -0.029866183]",1.0,"[-10.079253196716309, -12.66158390045166, -10.784231185913086, -11.54385757446289, -11.304756164550781, -11.545730590820312, -10.783900260925293, -10.447776794433594, -10.965265274047852, 3.4657182693481445, 1.9811697006225586, -10.875311851501465, -10.606086730957031, -8.82219409942627, -10.157977104187012, -8.709880828857422, -11.44375228881836, -11.364940643310547, 4.60759973526001, -8.687379837036133]"
9,Arc-AGI 2,"[-0.20125517, 0.061421964, 0.056917384, 0.23751539, -0.21604021, 0.21171126, -0.11304682, -0.283154, -0.2076064, 43.813126, 2.232214, -0.4029225, -0.12279133, 0.82955277, -0.3424711, -0.4072229, -0.16289215, -0.25207204, 2.5190423, 0.22295578]",1.0,"[-9.213648796081543, -9.448897361755371, -9.6074800491333, -9.859846115112305, -9.47199821472168, -9.89527702331543, -10.068683624267578, -9.549077033996582, -9.693493843078613, -1.9899755716323853, -9.46589183807373, -9.713007926940918, -8.99901294708252, -10.162026405334473, -10.161996841430664, -9.723977088928223, -10.27888011932373, -8.863130569458008, 7.750662326812744, -9.29410171508789]"
