benchmark_id,benchmark_name,estimated_difficulty,slope,mask
10,Arc-C,"[-0.61883914, -3.1578639, 4.633986, 0.880961, 0.25943312, 1.5138855, 7.4319983, 0.62245893, -0.046206567, -0.75905937, -1.4049575, -0.6507652, -0.3932913, 1.2001334, -0.7951224, -0.7972214, -0.4311581, -1.7300255, -2.9948604, 0.50505805]",1.0,"[-10.006656646728516, 3.6589012145996094, -11.614739418029785, -11.095967292785645, -9.85755443572998, -10.838695526123047, -12.33486557006836, -9.667119026184082, -9.971648216247559, -10.531968116760254, -11.239408493041992, 5.565700531005859, 4.163980484008789, -7.8619704246521, -9.344504356384277, -9.4000244140625, -10.428297996520996, -9.463949203491211, -9.342162132263184, -9.951977729797363]"
11,Arena-Hard,"[-0.2730706, 0.1637762, -0.014992912, -0.022528471, -0.18267813, 0.0960479, -0.15799336, -0.22322321, -0.364995, -81.24296, -0.593674, -0.96343464, -0.11706171, -1.1266541, -0.33961108, -0.2718462, -0.11009565, -0.43196356, 0.272128, -0.1657809]",1.0,"[-10.833345413208008, -11.079381942749023, -11.036433219909668, -10.748976707458496, -10.831698417663574, -11.15912914276123, -10.80881404876709, -11.09860897064209, -10.807697296142578, -8.353508949279785, 2.399080753326416, -10.36097526550293, -11.166153907775879, 5.417479515075684, -11.009507179260254, -10.745487213134766, -10.744294166564941, -11.01552963256836, -11.529261589050293, -11.525243759155273]"
12,AutoLogi,"[-0.67349225, 0.19052082, 0.091764204, 1.0984775, -0.2898343, -1.3570405, -0.7200062, -0.19468847, 1.2319435, -0.78067225, -1.1167555, 15.538588, 0.5841619, -2.7741678, -0.18933204, -0.6537954, 0.12501808, 1.5158685, -2.0003376, 2.6661148]",1.0,"[-4.368330478668213, -9.3169584274292, -0.028650004416704178, -2.971783399581909, -0.8935334086418152, -7.930479526519775, -5.3958868980407715, 0.7760575413703918, -7.01725435256958, 0.6352202296257019, 4.022461414337158, -0.4537222981452942, -0.7439664602279663, 3.861375570297241, -4.813180446624756, -7.144557952880859, -3.1204984188079834, -3.003709554672241, 2.333881139755249, -1.1999446153640747]"
13,BBH,"[-0.15598992, -1.175632, -0.16554058, 0.3799068, 0.14825803, 0.0700254, -0.2680205, -0.07273177, -0.6612472, -0.23206644, -0.7316329, -1.3020538, 0.10423796, -1.26826, -0.3808182, -0.31378984, -0.36306822, 0.011918509, 0.41203243, -50.638508]",1.0,"[-12.073470115661621, 2.630004644393921, -11.81662654876709, -11.91375732421875, -11.999268531799316, -11.04097843170166, -11.940878868103027, -11.329069137573242, -11.084715843200684, -11.196905136108398, -9.946549415588379, 3.1357765197753906, -11.81505298614502, 2.271986246109009, -11.705971717834473, -11.650501251220703, -11.266324996948242, -11.193612098693848, -11.878168106079102, -10.436882019042969]"
14,BFCL V3,"[-0.32101256, 0.26696357, -0.049246315, 0.3222576, -0.13067997, 0.059668858, -0.54013115, -0.10010279, -0.49891993, -0.21342507, 0.6755231, -0.8421545, -0.038133, -0.69287664, -0.38129038, -0.27112296, -0.08857958, -0.49882087, 0.15717648, 69.21759]",1.0,"[1.8472952842712402, -7.419483184814453, 1.3739051818847656, 1.2643375396728516, -8.986335754394531, -4.5458784103393555, -2.083306312561035, -2.484508752822876, -8.154045104980469, -0.18191638588905334, -0.5477479696273804, 2.718484878540039, -8.703534126281738, 3.0355887413024902, -0.2984136939048767, -0.895363450050354, -6.600918292999268, -2.7278523445129395, 2.0670008659362793, -3.3775649070739746]"
15,Balrog,"[-0.21152698, 0.35162362, -0.16629606, 0.05785646, 45.074814, 0.33266878, -0.26479882, 0.10542413, -0.6509025, -0.07524396, -0.4773244, -0.73563635, -0.08393333, 0.045528077, -0.2756736, -0.3953949, 0.06898074, -0.16043493, 0.12473867, -0.37482783]",1.0,"[-0.9366775155067444, -8.018414497375488, -2.232184410095215, -7.462620735168457, 1.094273328781128, -6.369813919067383, -1.5577465295791626, -5.745392799377441, -4.499051094055176, -5.974132537841797, 2.3255090713500977, -1.1025853157043457, -1.5747673511505127, 3.005175828933716, -0.7040839195251465, -4.00014066696167, -7.81902551651001, -7.381710052490234, 2.5155529975891113, -3.356421947479248]"
16,BrowseComp,"[0.79647684, 1.2833792, -1.0400319, 0.4119465, 0.6442607, 0.47348502, -1.7404048, -0.2263707, -2.919224, -0.42067954, 5.5014353, -0.5399872, 0.76937765, -4.686098, -0.46151003, -2.098877, -10.177813, -0.8304861, 0.14290766, 1.1179103]",1.0,"[-6.743017196655273, -1.7332497835159302, -2.8230037689208984, -0.8709095120429993, 2.8428170680999756, -2.3354716300964355, -6.990991115570068, -2.773200750350952, -5.957038402557373, -3.368075132369995, -3.0855343341827393, -0.7258225679397583, -2.719071626663208, -6.949721813201904, -2.4591732025146484, -8.223899841308594, -1.6077251434326172, -4.129580974578857, 4.36927604675293, -1.445096731185913]"
17,C-EVAL,"[1.4226801, 0.014848222, -0.89994895, -0.23052356, -0.15281898, -20.323645, 0.5958356, 0.7411457, -0.76298964, -1.1682392, 0.9758265, -0.34257132, -0.8334596, -2.0960298, -0.50151014, -0.30719015, -0.17059717, 0.6986265, -1.0901147, -0.393884]",1.0,"[1.9250459671020508, -8.560395240783691, -9.938843727111816, -4.468348979949951, -6.0291571617126465, 2.9597082138061523, -10.090251922607422, -6.87518835067749, -2.870434045791626, -7.667903423309326, 0.9860162138938904, -4.3352370262146, -9.64394760131836, 4.347393035888672, -9.107993125915527, -2.0071797370910645, -7.129618167877197, -7.16692590713501, 0.8509317636489868, -10.027886390686035]"
18,CMMLU,"[0.51546687, 1.3298649, 2.6133704, -2.5262122, -0.6576581, -1.446267, -1.700195, -0.2969572, -1.5213721, 0.04962398, 0.12171315, -0.946991, -4.7700043, -2.3187542, -0.21488136, -0.1905891, 1.0722901, -1.360755, 0.03555675, -3.9431245]",1.0,"[1.4401801824569702, -1.9958999156951904, -9.428666114807129, -9.640596389770508, -10.137345314025879, -7.273703575134277, -8.798563003540039, -7.720849514007568, -6.730076313018799, -9.106537818908691, -10.65481948852539, -10.098246574401855, -7.315171241760254, 3.7688963413238525, -9.43309497833252, -3.5577661991119385, -6.428465843200684, -9.164234161376953, -4.478168964385986, -6.185582637786865]"
19,CadEval,"[0.3556978, -0.6039576, -0.11980395, -0.827214, -0.14770822, -0.7854321, 3.6155546, -0.05166728, 0.42007458, -0.22437747, -0.009661296, -0.5715832, -0.9357471, -2.2497206, 5.1129746, -0.59517473, 0.121705495, -0.4341615, -0.37163642, 6.9828305]",1.0,"[-7.2679524421691895, -7.634258270263672, -3.4007785320281982, -2.312966823577881, -2.0503199100494385, -6.671535015106201, 0.4866350293159485, -2.97354793548584, -7.906511306762695, -5.334628105163574, 3.1605758666992188, -5.193495750427246, -8.34243106842041, -3.030320405960083, -7.034245491027832, -4.754492282867432, -4.217170715332031, -7.508188724517822, 2.7582032680511475, -3.1058857440948486]"
20,CharXiv-R,"[1.0201831, 0.14462137, -0.11817433, -13.616782, 0.08799263, -0.122852795, 1.4994117, -0.17319827, -2.2007625, 0.87938505, 4.6206656, 0.39048055, 0.8369228, -2.5961664, -2.3029168, -1.2647241, 0.851026, -1.0816687, 1.0751007, -1.0456635]",1.0,"[-10.022177696228027, -10.136370658874512, -9.805325508117676, 2.6149978637695312, -9.463563919067383, -9.29317569732666, -10.584613800048828, -9.457246780395508, -5.557212829589844, -9.145960807800293, -10.083832740783691, -8.984149932861328, -10.241621971130371, -7.44097375869751, -9.147664070129395, -9.118568420410156, -10.187972068786621, -9.819975852966309, 3.056852102279663, 5.012501239776611]"
21,CodeForces,"[-0.1120135, 0.18317766, -0.16772498, 0.27367792, -0.12892112, 0.17892367, -0.228609, -0.20142928, -0.58181953, -0.24500462, -0.6307411, -0.8514937, -0.10581469, -0.1476278, -0.42362782, 83.298935, -0.12686211, -0.31486902, 0.09952955, -0.12684254]",1.0,"[-5.80113410949707, -5.753904819488525, -6.058781147003174, -6.048737049102783, -4.8471784591674805, -5.724531173706055, -5.779498100280762, -4.575880527496338, -5.358580589294434, -5.274141788482666, 11.972790718078613, -6.159450054168701, -5.603239059448242, -4.3865838050842285, -4.852843761444092, -7.780951023101807, -5.664705753326416, -6.446579456329346, -4.989771366119385, -6.1360602378845215]"
22,Creative Writing v3,"[-1.238075, -0.62745506, -0.20773552, -9.010075, -0.5313384, 0.8992608, -0.06667239, -0.37893707, 0.3295437, -0.04190395, -1.9991797, -0.28872913, -0.6533384, 0.36004007, 0.62245065, 0.9105178, -8.100749, 1.1021132, -0.045615323, -0.2766934]",1.0,"[2.1767032146453857, -7.784334182739258, -9.45688247680664, 3.201007604598999, -9.661694526672363, -9.360992431640625, -6.99347448348999, -9.266297340393066, -9.048880577087402, -9.571087837219238, -0.027715837582945824, -9.30334186553955, -8.786545753479004, 3.3467068672180176, -10.271103858947754, -7.5041327476501465, 1.2693349123001099, -10.209402084350586, 0.9691076874732971, -10.299898147583008]"
23,Crux O,"[-0.15333405, -39.045605, 0.009633382, 0.28826535, -0.4137256, -0.69787306, -0.62296534, -0.032197762, -1.8993429, -0.2681532, 2.3754463, -2.6994612, 0.49480724, -1.44422, -0.09585427, -0.039432503, -0.47442037, 0.49855715, -2.151783, -0.4587001]",1.0,"[-7.804501056671143, -8.87753677368164, -8.173521041870117, -6.581496715545654, -9.183743476867676, -5.4347147941589355, -9.071907043457031, -9.249101638793945, -9.659276962280273, -9.260270118713379, 2.453780174255371, 1.822455644607544, -8.863880157470703, 4.730304718017578, -9.17044448852539, -7.158526420593262, -4.138103008270264, -8.071407318115234, -8.93639850616455, -9.68515682220459]"
24,Cybench,"[-1.5361422, -0.3463742, 1.153836, -4.021188, -0.4335621, -0.73003995, -0.86493444, -0.34845534, -1.5649751, 1.0649394, 1.2855812, 1.3022655, 0.38019222, -3.653569, 0.5845457, -0.8406555, 8.478707, 1.082839, 1.5133842, -0.06117892]",1.0,"[-8.700364112854004, -9.461325645446777, -9.743234634399414, -8.193827629089355, -9.290072441101074, -9.570859909057617, -8.962017059326172, -9.752103805541992, -8.383325576782227, -9.618328094482422, 4.128134727478027, -10.091888427734375, -9.70097541809082, -7.143270492553711, -9.759501457214355, -10.021430015563965, -10.782156944274902, -10.417975425720215, 4.523044586181641, -8.697558403015137]"
25,DeepResearch Bench,"[1.6916007, -0.21656866, 2.754971, 1.2481184, 1.2845049, -0.01259467, 0.7099036, -0.26137412, -4.1137547, -8.045289, 0.7127152, -1.111817, -0.38322857, 1.6805527, 0.60651183, 0.3740816, 0.4180169, 1.1944901, 0.3645164, -1.360049]",1.0,"[1.5828344821929932, -4.963098526000977, 1.7626336812973022, 1.2599998712539673, 0.8836327195167542, 1.7498096227645874, 0.834937334060669, -0.2315317690372467, -0.195835679769516, 2.523817539215088, 2.408135175704956, 1.6577669382095337, 1.6057403087615967, -0.41040632128715515, -1.355468511581421, -1.450392723083496, 1.8576582670211792, 1.569639801979065, 2.283998966217041, -3.656964063644409]"
26,DocVQA,"[-0.013831973, -0.2966148, 0.07768776, -0.074416645, -0.046903607, -0.40745696, 0.110293165, -0.41727465, -1.2690601, -0.0836594, -0.7547396, -0.21848023, -0.04407205, -1.3847424, -32.98367, -0.11486909, -0.2117096, 0.19166076, -0.057917736, -0.061889976]",1.0,"[-10.086708068847656, 2.205451011657715, -9.927477836608887, -9.839512825012207, -9.511771202087402, -9.546226501464844, -9.34836196899414, -4.385199069976807, -8.925834655761719, -10.424591064453125, -1.4942890405654907, 2.2284345626831055, -10.401025772094727, -0.8389905691146851, 4.036036014556885, -9.388836860656738, -10.51171588897705, -1.9871084690093994, -10.745673179626465, -5.961940288543701]"
27,Drop,"[-9.622997, -0.97061515, -0.43340042, 0.6073675, -0.4486254, 0.016776843, -0.79418063, -4.29255, -2.590701, -0.753749, -1.8189849, 0.21811563, 0.050420154, -2.3554065, -0.22343251, 1.007795, 0.41100267, -0.75745493, 1.9794905, 0.8281037]",1.0,"[1.377273678779602, 0.9222663640975952, -0.6506498456001282, -9.440378189086914, 1.695190191268921, -8.887134552001953, 0.5100674033164978, -2.0096993446350098, -1.3337897062301636, -8.436823844909668, 1.1434268951416016, 1.5531196594238281, 0.8627626299858093, 3.7734649181365967, -7.846802234649658, -4.459277153015137, -8.415956497192383, 2.285963296890259, -1.372058391571045, -6.436091899871826]"
28,Eval Plus,"[0.2839741, -0.8525347, 0.13843043, -0.96559453, 0.051671907, 0.9316173, -0.46017987, 0.5839003, -2.956233, -0.0011421676, -3.977511, 13.577991, -1.6968064, 3.146995, -0.09858657, -0.3092115, -1.4814116, -0.7012285, 2.2403202, -1.7858926]",1.0,"[2.0261569023132324, 4.866730213165283, -6.966838359832764, -8.205180168151855, -8.272668838500977, -4.289028644561768, -7.452152252197266, -7.690858840942383, -2.6123626232147217, -6.9626054763793945, 3.9390923976898193, 0.012129580602049828, -7.34458589553833, 1.4580905437469482, -4.358800888061523, -5.238877773284912, -2.928260087966919, -4.53279972076416, -1.9729681015014648, -6.979526519775391]"
29,Factorio learning environment,"[1.1340208, -0.2999646, 0.35081643, 1.1551232, 0.015264726, 0.16035065, -0.18826047, -3.7579174, 1.9470091, -0.27335215, 0.17678875, -0.15166438, 1.1710111, 1.8965311, 8.501324, -0.61904675, 0.42522135, -0.3845414, -1.3889694, -1.335866]",1.0,"[-4.538542747497559, -1.47684907913208, -7.720053195953369, -9.006730079650879, -4.597658634185791, -4.9821295738220215, -6.549530982971191, -6.799749851226807, -9.269391059875488, -7.358699798583984, 1.7665852308273315, -3.0067126750946045, 3.171424627304077, 2.6187567710876465, 1.7671171426773071, -7.035521507263184, -7.26379919052124, -4.8022565841674805, -7.944055557250977, -6.746539115905762]"
30,Facts Grounding,"[0.70454425, -0.4451802, 0.39101034, -1.8193202, -0.06877136, -1.1232922, 1.9838012, 0.000962924, 0.054690644, 2.0596328, -1.5600332, -1.3146584, -10.389282, -0.2382672, -0.09577076, 0.80730534, -0.24664001, 0.6754987, -0.17308809, 3.0061808]",1.0,"[-8.78566837310791, 4.909962177276611, -8.69694709777832, -6.455027103424072, -7.238429546356201, -7.791891098022461, -8.568947792053223, -9.128825187683105, -7.842170238494873, -9.102801322937012, 2.671229600906372, 4.6832122802734375, 0.540527880191803, 3.1314187049865723, -8.346389770507812, -8.127102851867676, -8.051922798156738, -8.83233642578125, -9.234376907348633, -9.003941535949707]"
31,Fiction.LiveBench,"[-0.19287635, 0.55709386, -0.3161495, 1.0677791, 0.18095042, -0.8456286, -0.48973665, -0.5446822, -1.3555418, 0.64538026, 1.0396845, -0.41248235, -0.7101747, -0.34534076, -0.67357016, -25.31258, 0.044732135, 0.15251534, -0.7705218, -0.358203]",1.0,"[-9.499419212341309, -9.768540382385254, -8.938807487487793, -10.468270301818848, -9.347612380981445, -9.624756813049316, 5.344711780548096, -9.679065704345703, -9.260804176330566, -8.771717071533203, 4.369884014129639, -7.748329162597656, -8.892647743225098, -2.4461896419525146, -8.917923927307129, -0.3233473300933838, -9.263230323791504, -9.914848327636719, -8.917835235595703, -9.507591247558594]"
32,Fleurs,"[1.2833871, 9.47757, -0.045191515, 2.1659799, 0.8271237, 2.094537, -2.077014, 0.79030836, -0.3808263, 0.01762608, -2.4212098, -0.33314788, 0.83764386, 2.476434, 5.246038, -0.5032258, -0.98503447, 0.4346297, 2.0215895, 0.3549396]",1.0,"[-4.023884296417236, -3.4801721572875977, -4.212774276733398, -2.582956314086914, -3.9293200969696045, -3.962216854095459, -4.731201648712158, -3.3719322681427, -3.183871030807495, -4.257334232330322, -5.155313968658447, -3.692091703414917, -4.604534149169922, -3.724609613418579, -1.946656346321106, -4.374752521514893, -4.311731815338135, -3.3905723094940186, 11.988691329956055, -3.6310079097747803]"
33,FrontierMath-2025-02-28-Private,"[-0.25632188, 1.3355105, -0.7388008, 1.8754169, 0.30031726, -0.078503065, 7.516093, -1.120338, 0.26222834, -0.4613592, 3.9363942, -0.7897843, 0.9160297, -1.3909715, -0.51160455, 1.6195208, -0.50876725, 1.3586863, 4.9466333, -3.0103087]",1.0,"[-9.056739807128906, -10.544363975524902, -9.179737091064453, -9.22512435913086, -1.733739972114563, -8.517518997192383, 1.8879612684249878, -3.9356894493103027, -9.68622875213623, 0.42909500002861023, 4.204439163208008, -8.855989456176758, -7.5231614112854, 0.34704434871673584, -8.767865180969238, -4.412722110748291, -3.3517074584960938, 1.578621506690979, -7.520235538482666, -6.475563049316406]"
34,FrontierMath-Tier-4-2025-07-01-Private,"[-0.5013098, -0.14155447, 0.6208264, -0.59027606, 0.4334092, 0.097987756, -0.82486075, -0.1978394, 0.050451193, -0.09801177, 3.8782816, 0.24311279, -0.839715, 0.06518762, -1.3214045, 0.36688185, 22.089643, 0.43790853, -1.1992835, -0.34416497]",1.0,"[-8.108014106750488, -8.202569961547852, -8.02800178527832, -8.296295166015625, -8.13459587097168, -8.284950256347656, -8.217450141906738, -8.275171279907227, -8.376450538635254, -3.4600603580474854, 4.218719959259033, -8.404257774353027, -8.14538860321045, -7.2224202156066895, -8.511005401611328, -7.8000946044921875, 2.6850473880767822, -8.405383110046387, -3.519202947616577, -8.050143241882324]"
35,GPQA,"[-0.12204211, -0.33669502, -0.15577008, 0.139771, -0.16470556, 68.45319, -0.43798167, -0.20622161, -0.3414102, -0.36407715, -0.844374, -0.9639707, 0.017160472, -1.6266918, -0.21484153, -0.4003999, -0.24297066, -0.051028397, 0.108848095, -0.41362354]",1.0,"[-3.85957407951355, 3.423800468444824, -4.717553615570068, 0.3510284125804901, -7.509346008300781, 0.5936853289604187, 2.3959975242614746, -8.679756164550781, -5.368217945098877, -8.262572288513184, 2.6998515129089355, -2.1784136295318604, -8.719482421875, 1.5676703453063965, -1.7069884538650513, -8.277610778808594, -7.860189437866211, -8.074074745178223, -11.074816703796387, -7.142996311187744]"
36,GPQA diamond,"[-0.25134355, -0.060578153, -0.11672567, 0.19272615, -0.22067146, -0.028049503, -0.41158798, 0.020608477, -0.3417174, -0.16445419, 0.0808896, -0.6399273, -0.062025942, -0.10789821, -0.32991087, -0.36553305, -0.15867881, -0.16411339, -115.08006, -0.15128581]",1.0,"[-10.714071273803711, -6.505740642547607, -11.218426704406738, -10.9249267578125, -11.035643577575684, -11.06301498413086, -10.332351684570312, -10.199453353881836, -9.850235939025879, -1.994343638420105, 2.8451435565948486, 2.766278028488159, -11.132987976074219, 2.9860618114471436, -11.096232414245605, -10.597047805786133, -11.510263442993164, -11.487251281738281, 1.4543991088867188, 2.460630416870117]"
37,GSM8K,"[0.8966998, -2.0361347, -0.89037704, 0.21007489, 0.7880764, -0.7356072, -1.3558435, -0.17717987, -0.64305025, 0.04357626, -3.2250912, -0.3146666, 2.1705074, 1.0564684, -1.0216291, -0.046935212, -0.6505654, -11.9140215, -1.9903827, 0.096510254]",1.0,"[-8.644536018371582, 3.533839225769043, -8.446198463439941, -8.775705337524414, -9.107887268066406, -8.505914688110352, -8.360708236694336, -8.263243675231934, -8.469895362854004, -8.620969772338867, -8.689851760864258, 7.623843193054199, -9.302913665771484, -9.375102996826172, -7.813305854797363, -8.551469802856445, -8.614176750183105, -6.9077863693237305, -8.26111888885498, -8.783541679382324]"
38,GSO-Bench,"[0.4440664, 0.4876758, -0.12950428, 0.275319, -0.5132392, 0.36096504, 0.20656332, -0.849275, -0.6147586, -1.0061551, -0.3885802, -1.4295671, 0.38668287, 2.589735, -0.40181702, -0.54787093, 29.723614, -0.18779574, 1.3903263, -0.12857963]",1.0,"[-2.5303564071655273, -5.257402420043945, -1.7054507732391357, 1.3322218656539917, -1.288377285003662, -5.046064376831055, -1.631324291229248, -1.3942099809646606, 0.5550311207771301, -5.361332416534424, 1.5298081636428833, 0.5792026519775391, -3.155463457107544, 2.609596014022827, -3.81480073928833, -4.9731011390686035, 2.041170597076416, -0.5429056286811829, 1.6186730861663818, -3.739644765853882]"
39,GeoBench,"[1.1277442, -1.1176673, -0.11067795, 0.6433687, 0.41914552, 0.37344268, -0.0045209075, -1.0073026, 1.0295997, -0.41231543, -20.992283, 0.2117825, -0.3016671, 1.4989666, 1.2259983, -0.7362981, -0.30348998, -0.72157645, -0.6328414, -4.817838]",1.0,"[-8.64567756652832, -8.01610279083252, -4.237640380859375, -8.172649383544922, -7.732906341552734, -8.274886131286621, -7.379720687866211, -7.5329155921936035, -7.729276180267334, -7.56120491027832, 2.0455639362335205, 6.179225921630859, 1.3850730657577515, -1.2327359914779663, -8.713033676147461, -7.335209846496582, -7.7846479415893555, -6.742407321929932, -7.322653770446777, -5.3221893310546875]"
