benchmark_id,benchmark_name,estimated_difficulty,slope,mask
20,CodeForces,"[2.3850286, 1.4842563, 0.41386253, 0.8351078, -1.1456131, -0.8089612, -0.69675946, 0.7798197, -1.4082569, -0.90607697, -0.07401591, -14.580211, -0.8011761, -0.39226118, -0.4548424, 0.4576852, -0.09672079, -0.14303118, -0.18953142, 0.12498338, -1.0341923, -0.8643695, -0.029224347, -0.08507448, 1.0127304, -0.39181417, -1.740093, 0.23923457, -1.5074261, 0.08128678]",1.0,"[2.52687406539917, -12.426885604858398, -12.133160591125488, -11.857355117797852, -11.550980567932129, -11.409438133239746, -11.306182861328125, -11.325713157653809, 5.401524066925049, -10.479058265686035, -11.210179328918457, -10.008535385131836, -10.4298095703125, -11.067039489746094, -10.122100830078125, -10.989349365234375, -11.276942253112793, -11.634163856506348, -11.454728126525879, -11.939181327819824, -11.877138137817383, -11.713956832885742, -11.628058433532715, -12.215693473815918, -10.622430801391602, -11.952821731567383, -10.058238983154297, -11.90962028503418, -10.55065631866455, -9.498098373413086]"
21,Creative Writing v3,"[-0.4056328, 0.4653068, -0.51039404, -0.9478143, -0.549508, -0.072778165, 0.18690446, -0.017333051, -72.97767, 1.0766088, 0.22662364, 0.513353, -0.24156468, 0.022642286, -0.43740243, 0.19472222, 0.15433723, -0.54294884, 0.01989184, 0.17219588, -0.39361587, -0.9469091, 0.2847683, -0.12000155, -0.47404167, 0.40020797, -0.27057847, -0.260116, -0.3559894, 0.62949675]",1.0,"[0.8421449661254883, -8.813923835754395, -11.65174388885498, -5.680798530578613, 2.5159904956817627, -10.286376953125, -11.254491806030273, -10.688814163208008, 3.9873576164245605, 3.426830768585205, -11.011147499084473, -11.329000473022461, -11.206501960754395, -10.685857772827148, -11.370556831359863, -11.110748291015625, -11.173436164855957, -10.5180025100708, -11.74901008605957, -11.52782154083252, -10.359901428222656, -0.8175323009490967, 1.236520528793335, -12.611236572265625, -11.079232215881348, -10.682655334472656, -10.884078025817871, -11.287065505981445, -10.203644752502441, 0.4840694069862366]"
22,Crux O,"[-0.023090389, 1.081033, -0.34222472, -0.20071523, -0.28829592, 0.3182701, 0.15808244, -0.38000867, -1.6902304, -0.73851603, 0.27350733, 0.7013736, -0.25303698, 1.3677226, -0.6801811, -0.17697814, 28.973951, -0.7864409, -0.5483385, -0.12337324, -1.5651444, 0.14937122, -0.02606116, -0.36262733, -0.95361024, 0.13319233, -0.15311515, 0.013390157, -0.27398828, 1.1710427]",1.0,"[-9.211860656738281, -10.47042465209961, -9.712433815002441, -9.037590026855469, -9.090095520019531, -9.402374267578125, 1.0347423553466797, -9.435384750366211, -8.053339004516602, 4.027942180633545, -7.751635551452637, -9.94284439086914, -9.35554313659668, -9.835631370544434, -9.345976829528809, -9.935202598571777, -9.050397872924805, -9.55274772644043, -9.343279838562012, -0.07761529088020325, 3.9563052654266357, 0.9839933514595032, -9.76766586303711, -9.217535018920898, -9.665461540222168, 1.9149380922317505, -9.389664649963379, -9.289650917053223, -9.502805709838867, 1.2215454578399658]"
23,Cybench,"[-0.53366494, 0.8096542, 0.015533333, -0.5989318, 0.44367278, 3.6975818, 3.009638, -0.6698699, -1.2579864, 1.684471, 4.238614, -0.3247586, 0.6641034, -1.5073481, -0.9646208, -0.14485976, -0.3905639, -1.1642493, -0.037897557, 0.69443864, -0.30752945, -0.98861164, 0.06766761, -0.37706327, 2.4871843, -0.47321478, 0.35996938, -0.3310829, -1.0464047, -6.5899677]",1.0,"[-2.5866072177886963, -8.93644905090332, -8.543365478515625, -8.52664566040039, -9.875287055969238, -10.02872085571289, 5.324067115783691, -8.88621997833252, 4.549604415893555, 3.4503977298736572, -10.597926139831543, -9.4112548828125, -9.599590301513672, -8.93563461303711, -8.370132446289062, -9.93754768371582, -8.702849388122559, -8.37480640411377, -9.117087364196777, -9.3443603515625, -8.787379264831543, -8.833148002624512, -9.853562355041504, -8.573885917663574, -10.884462356567383, -9.259129524230957, -9.082939147949219, -9.62173843383789, -8.971150398254395, -1.6225886344909668]"
24,DeepResearch Bench,"[-0.22057123, -0.12209418, -1.9960703, 8.155359, 0.89341795, 2.382002, 1.7470156, 0.6966291, 1.9556592, 1.4602408, 1.0762029, -0.38416398, 0.12993619, 0.3119963, 0.78022426, 0.6741756, -2.5119233, 0.6038792, 0.8883604, 0.20763567, 0.7858799, -0.26305434, -0.11008243, -0.25954467, 0.9365192, -0.54450035, -0.16111413, -0.99576837, 1.5730683, -0.4893424]",1.0,"[-5.470929145812988, -5.536769390106201, 3.855039119720459, -5.6596455574035645, -3.602701187133789, -5.188487529754639, 3.781238317489624, -5.776708602905273, 5.411604404449463, 2.7005221843719482, 2.5737223625183105, -1.3371460437774658, 2.8068783283233643, 4.699152946472168, -5.317657947540283, -3.358257293701172, -3.946284294128418, -2.3340837955474854, -5.133855819702148, -4.748828887939453, 0.6005163788795471, -4.127791881561279, -1.9656509160995483, 0.07777313143014908, 3.6964426040649414, -0.5247091054916382, 0.531385064125061, -2.339482069015503, -2.1595234870910645, -5.744842529296875]"
25,DocVQA,"[-0.84365565, 0.5246332, -0.3586151, -1.1797808, 0.17304896, -0.23046234, 0.3482165, -0.293512, -1.0922089, -0.64515907, 0.5069276, 0.29095316, -0.18067291, -0.26259243, -0.36318564, 0.037383202, 0.046259884, -0.2872762, -0.38814104, 0.21192849, -0.8271701, -0.5986593, 0.164976, -51.167175, -0.46019512, 0.00066819857, -0.16486956, 0.074373804, -0.54181033, 0.47365537]",1.0,"[-8.771489143371582, -5.295058250427246, -7.374091625213623, 0.881615161895752, -8.306428909301758, -9.17189884185791, -9.898344993591309, -2.3290741443634033, -3.0405843257904053, 0.1498342603445053, -7.026368618011475, -6.9548115730285645, -1.156581997871399, -8.108156204223633, -7.416420936584473, -7.170398235321045, -5.598801136016846, -8.269311904907227, 0.4991161823272705, -1.822191834449768, 3.815563440322876, 1.2074894905090332, -7.750546932220459, 4.846494197845459, -8.853720664978027, -11.46998405456543, -6.542327404022217, -11.055736541748047, -8.535737037658691, -9.697901725769043]"
26,Drop,"[-0.6576098, 0.47197872, -0.55788326, -0.6416424, 0.026193915, 0.057678625, 0.2901074, -0.78300923, -1.1124675, -2.2263746, 0.04731272, 0.70101726, -0.6554856, -0.5481473, -0.09595306, 0.0013303959, 0.12264458, -0.3063363, -0.61067903, 0.41671768, 51.93515, -0.6327342, -0.10135426, -0.035443317, 0.025549017, 0.025943534, -0.7990659, -0.31642303, -0.41959643, 1.4479897]",1.0,"[-8.530563354492188, -11.307108879089355, -9.458240509033203, 4.409719944000244, -9.52052116394043, -9.901281356811523, -9.712531089782715, -7.905391693115234, 2.440673589706421, 4.881219387054443, -11.099401473999023, -10.108953475952148, -8.546737670898438, -8.986818313598633, -3.0104305744171143, -9.305265426635742, 0.3801513910293579, 3.333184003829956, -9.603293418884277, -10.39849853515625, -12.874066352844238, -8.011305809020996, -9.302547454833984, -9.065766334533691, -10.004361152648926, -9.031771659851074, 2.236920118331909, -11.088807106018066, -5.509010314941406, -9.913649559020996]"
27,Eval Plus,"[-1.4762708, 1.2197305, -0.1883087, -1.2499235, -0.5759135, 0.11990725, 0.26487294, 0.16263753, 2.3692877, -4.654424, -0.13876522, 0.7603008, -1.5428461, 0.50720644, -0.5595765, -0.8162794, 1.9458857, 0.44609293, -0.9622769, 0.04190755, -0.52543354, -0.33868015, 0.24380124, 0.036917552, 5.7688556, 0.6083278, -0.5527798, -0.32115087, 0.36297572, -11.311725]",1.0,"[4.319609642028809, -10.196093559265137, -6.768422603607178, -5.177901268005371, -8.350289344787598, -8.099632263183594, 2.733400821685791, -6.053377151489258, 0.27414843440055847, 4.698767185211182, -8.322042465209961, 1.8038209676742554, -4.382717132568359, 0.14208891987800598, -7.489870548248291, -1.8482065200805664, 2.1598377227783203, -7.395605087280273, -0.4504890441894531, -3.3970305919647217, 5.2906413078308105, -9.121532440185547, -8.342585563659668, -6.828579902648926, -9.240802764892578, 1.204345464706421, -9.4639892578125, -7.140871524810791, -8.349162101745605, -8.057365417480469]"
28,Factorio learning environment,"[1.1096622, -1.0633996, 0.43085533, -0.7183428, 0.7480077, 0.093083575, -0.09032118, -0.29763472, -2.609502, 1.6300001, 1.1702418, 1.784392, -0.54665923, 1.1566302, 1.5828797, 0.3180085, 1.2598996, 0.048052218, 0.5332091, 0.1683672, -0.16268471, 8.919205, -0.25902423, -2.3641627, 0.1462731, 0.23876277, -1.5711099, 0.50314176, 0.3959903, 1.5855923]",1.0,"[-7.674264430999756, -4.3518171310424805, -0.9215617179870605, -2.851228952407837, -5.681185722351074, -3.2549731731414795, 1.0740861892700195, -7.344869136810303, -5.876618385314941, -4.713515758514404, 4.961850643157959, -5.1837334632873535, -3.8796322345733643, -5.359311580657959, 5.09984016418457, -4.704965114593506, -5.722668170928955, -3.5888826847076416, 4.246160507202148, -2.313218116760254, -2.807421922683716, 2.4786810874938965, 2.417236089706421, -2.25536847114563, 3.161081075668335, 1.993813395500183, -5.582523822784424, -1.3968051671981812, 3.551368474960327, 4.380341053009033]"
29,Facts Grounding,"[0.22339484, 0.34790653, -0.6174958, -1.2867019, 0.29359087, -0.16772279, 0.19982977, -0.27281904, -0.4257544, 0.22143413, 0.41334534, 0.47595537, -0.41352803, 0.79090166, -0.6303296, 0.115666784, 0.4479033, -0.36483377, -0.30953893, 0.06478374, -0.85682845, -0.30857795, 0.62603813, -0.06400572, -0.1473877, 0.08166715, -0.25737005, -56.166607, -0.48007727, 0.39662296]",1.0,"[2.28922963142395, -5.772115230560303, -5.5841851234436035, -2.3226802349090576, -7.340869426727295, -6.659120559692383, -1.8146511316299438, -7.811210632324219, 0.7398455739021301, 3.687206983566284, -3.2372868061065674, -6.418903350830078, -11.069833755493164, -1.4303233623504639, -8.599406242370605, -8.030481338500977, -10.319493293762207, 1.3185241222381592, 0.37519222497940063, -1.9077359437942505, 3.3541650772094727, -6.357698917388916, -8.181129455566406, -4.591226100921631, -7.376506328582764, -5.757770538330078, -8.253763198852539, 4.038450241088867, 2.895282745361328, -8.085878372192383]"
30,Fiction.LiveBench,"[0.630521, -60.70721, -0.63404757, -0.86494833, -0.05230566, 0.08176689, 0.08991026, -0.8020286, 1.6737596, 0.9548934, 0.4212386, 0.32851985, -0.39943308, -0.2168431, -0.6833237, -0.29601124, 0.5386786, -0.5500366, -0.37190822, 0.2489661, -0.07095467, -0.31261766, 0.080448695, -0.15266122, -0.27492774, -0.26147062, 0.0064609596, 0.005029929, -0.5035845, 0.4152185]",1.0,"[2.4698727130889893, 3.566469669342041, -10.200563430786133, -10.639528274536133, -10.552827835083008, -2.001925230026245, -12.108826637268066, -11.73354721069336, 3.26961612701416, -11.365468978881836, -10.965126037597656, -10.948017120361328, -12.756143569946289, -10.249075889587402, -9.875222206115723, -11.081514358520508, -11.022808074951172, -9.84807300567627, 2.261364221572876, -5.897012233734131, -7.271528720855713, -9.962206840515137, -11.267213821411133, -10.229899406433105, -11.176604270935059, -11.164525985717773, -9.132132530212402, -11.770502090454102, -5.781944274902344, -11.456829071044922]"
31,Fleurs,"[1.3881505, 1.4635526, -0.010744874, 0.22549985, -8.390234, 0.6959867, 2.0896246, -0.81098413, 1.2264723, -1.3652397, -0.4496543, -0.22216308, 0.59953785, 0.024340056, -1.2683394, -0.30969343, 0.13328077, -0.8526976, 2.234763, -0.26395625, -0.9998961, -0.8191997, 3.290316, 2.280095, -0.24199136, -0.038818777, 1.3949614, 0.2769452, -0.62781906, -0.21892689]",1.0,"[-3.7610950469970703, -3.0868914127349854, -4.190157413482666, -1.4719163179397583, -2.7826569080352783, -2.2724921703338623, -2.684938907623291, -3.7060468196868896, -3.55527925491333, -2.1917788982391357, -3.5936717987060547, -1.6328145265579224, -4.651852607727051, -2.2937443256378174, -4.333597660064697, -3.0947093963623047, -2.137547492980957, -0.8748995661735535, -4.26593017578125, -1.8913953304290771, -2.5329325199127197, -3.001305341720581, -2.5807313919067383, 14.602137565612793, -2.950719118118286, -1.2521013021469116, -3.530471086502075, -1.651953101158142, -3.258951187133789, -4.262665271759033]"
32,FrontierMath-2025-02-28-Private,"[1.5713305, 0.37958923, -0.09194408, -0.5647527, 0.2987872, -0.27398556, 1.2894671, 0.1552394, 3.0173182, -1.2122933, 0.20394927, 0.5454022, -0.5768966, 0.54980916, -0.39850256, -0.21901846, 0.40705, -0.32277444, 0.18476316, 0.4603923, -0.25582907, -0.73236364, -0.55035776, 0.0054611475, -0.9072014, 0.0056160465, 0.2428926, -0.17661963, 30.810911, 1.055007]",1.0,"[3.4531147480010986, -9.804488182067871, -9.461456298828125, -9.337211608886719, -9.951032638549805, -9.857398986816406, -9.792759895324707, -9.982169151306152, 4.855133533477783, -10.05433464050293, -10.122289657592773, -10.113142967224121, -10.32147216796875, -10.074139595031738, -9.79220199584961, -7.961080074310303, -9.9410400390625, -9.925390243530273, -10.187621116638184, -9.939397811889648, -10.150683403015137, -10.09007453918457, -10.0901517868042, -10.145359992980957, -9.875601768493652, -9.466156959533691, -10.964997291564941, -9.680822372436523, 2.657607316970825, -10.11276626586914]"
33,FrontierMath-Tier-4-2025-07-01-Private,"[0.38630325, 0.6048517, -0.45470613, -0.36028293, -0.2837527, -0.5017957, -0.008634928, 0.41773638, 3.6822803, -0.40333077, -0.1942181, 0.65369225, -0.36527133, -1.3368039, -0.27280828, 0.46576408, 0.5554886, -0.5610005, 29.744211, 0.41223332, 0.04995483, -0.46645346, 0.1142095, 0.121354654, 0.08364142, -0.53272, -0.464124, -0.08904659, -0.1880597, 0.18822588]",1.0,"[-7.005737781524658, -8.491042137145996, -9.196646690368652, -5.605263710021973, -9.144020080566406, -8.804073333740234, -8.992523193359375, -6.3349504470825195, 4.127175807952881, -4.90352725982666, -9.32994556427002, -9.343077659606934, -2.9467358589172363, -9.292860984802246, -9.28914737701416, -0.933525800704956, -9.164318084716797, -8.956007957458496, 2.537597179412842, -8.632035255432129, -9.20976734161377, -9.087774276733398, -8.622750282287598, -8.80250072479248, -8.305355072021484, -0.6084250807762146, -10.454458236694336, -9.093947410583496, -8.877737045288086, -8.653523445129395]"
34,GPQA,"[-0.6880458, 0.4905689, -0.45733774, -1.1194192, -68.33556, -0.11443413, 0.4600032, -0.12307401, -0.37963155, -0.57436025, 0.2595572, 0.22864167, -0.48752826, -0.09979599, -0.54390013, -0.15463431, 0.1196084, -0.7246597, -0.58815587, 0.40002316, -1.5079281, -0.7922683, 0.22245272, -0.19524392, -0.24822056, 0.09744727, -0.12537599, 0.1041744, -0.48279363, 0.68856955]",1.0,"[1.9958624839782715, 1.329912781715393, -9.583773612976074, -11.795239448547363, -11.990806579589844, -10.295863151550293, 3.2742865085601807, -9.844545364379883, 1.738240122795105, 3.7454333305358887, -9.467252731323242, 2.626814365386963, -10.886185646057129, 1.280216932296753, -11.526083946228027, -10.152650833129883, -0.06838581711053848, -10.469969749450684, -10.664555549621582, 0.8813278079032898, -10.29833698272705, 0.5064449906349182, -0.12332616746425629, -11.434826850891113, -10.676488876342773, -6.767400741577148, -10.242865562438965, -0.47768542170524597, -10.5608549118042, 1.5903996229171753]"
35,GPQA diamond,"[0.013252041, 0.5316952, -0.39900634, -0.8888858, -0.058378354, -0.042779595, 0.46134424, -0.1743218, 0.76182455, -0.26181725, 0.05005557, 0.253714, -0.6477972, 69.184906, -0.5898175, 0.043496717, 0.36765823, -0.37637764, -0.34722877, 0.256173, -0.559717, -0.26830906, -0.05299526, -0.1601835, -0.25801235, 0.049665853, -0.16347285, 0.2066157, -0.34574324, 0.4145776]",1.0,"[0.8660707473754883, -12.562139511108398, -12.238202095031738, -11.730332374572754, -12.474081039428711, -12.471478462219238, -12.832777976989746, -12.285573959350586, 3.13529634475708, 3.5507009029388428, -12.43637752532959, -12.69051456451416, -11.901463508605957, -15.319104194641113, -11.937673568725586, -11.638541221618652, -12.724061012268066, -11.087541580200195, -10.184444427490234, -12.435446739196777, 4.118547439575195, -10.954153060913086, -12.210980415344238, -12.623923301696777, -12.378013610839844, -13.04977035522461, -12.68262767791748, -11.5183744430542, -9.677868843078613, -12.929437637329102]"
36,GSM8K,"[-1.6894093, 0.9867792, -0.74733555, 25.318954, -0.4432385, -1.1940526, -0.8673827, 1.6334643, -1.2435278, -1.8300873, 0.03879559, 1.2591566, -0.7310025, -0.48620325, -0.7841372, -0.68105376, 0.291152, -1.4892195, 0.10560607, 0.3383731, -1.3705366, -2.0871367, -0.07828788, -0.28912482, -2.0634844, 0.49885896, 0.19530512, -0.25917673, -0.9595423, 0.86255765]",1.0,"[-12.182015419006348, -11.676587104797363, -11.202783584594727, -13.434338569641113, -11.109298706054688, -10.962470054626465, 3.7298479080200195, -11.897787094116211, -11.888143539428711, -9.999608993530273, -12.090522766113281, -11.984015464782715, 2.827582597732544, -12.012480735778809, -11.127471923828125, -11.456605911254883, -11.222217559814453, -11.35081958770752, -11.748193740844727, -10.935624122619629, 4.885566711425781, -10.766389846801758, -12.482645034790039, -11.290213584899902, -10.76230239868164, -11.407272338867188, -11.97622013092041, -11.218138694763184, -11.168245315551758, -11.393586158752441]"
37,GSO-Bench,"[0.86199003, 0.2824954, -0.5623311, 0.66150826, 17.162254, 0.02848895, 1.289149, 0.37135226, -2.1644914, 0.49161264, -0.060443863, 1.4698104, -1.2469765, 1.6584699, 0.8812595, -0.32387328, 0.08227597, 0.19251344, -0.2404628, 0.67021275, 0.2534538, -1.3615798, 0.7520753, 0.1624104, 0.59541917, 0.6398118, -0.92854905, 0.7201315, -0.47467223, 1.3795794]",1.0,"[-5.987151145935059, -7.587822437286377, -6.115118503570557, -5.041090965270996, 3.4844343662261963, -7.252991199493408, -5.481456279754639, -6.501899719238281, -4.167958736419678, -7.367165565490723, -6.809975624084473, -6.794129848480225, -5.883363246917725, -6.688614368438721, -5.42834997177124, -9.163534164428711, 3.686239242553711, -6.151177883148193, -6.370352268218994, -7.565211296081543, -7.117791175842285, -6.584447860717773, -7.115375518798828, -6.519854545593262, -5.083848476409912, -0.033692095428705215, 1.4571242332458496, -6.264528751373291, 3.8683433532714844, -4.533425331115723]"
38,GeoBench,"[1.0309589, 0.1769214, -0.18171701, -0.9573095, -0.25352502, 0.071849525, -0.6225182, 0.107583106, -0.21319193, 1.3683877, -0.01091536, 0.5830175, -1.1377876, -0.20814884, -0.87830025, 0.2825042, -23.267542, -0.35874432, 0.03553767, -0.28261048, -0.41692165, -0.4844686, -0.7906913, -0.15500425, 0.031581845, 0.5358784, -0.94761866, -0.5131311, -1.0818598, -0.19568837]",1.0,"[3.7366397380828857, -7.573479652404785, -8.339360237121582, 4.792006015777588, -7.946629524230957, -7.598663330078125, -8.476543426513672, -9.547491073608398, -9.323193550109863, 1.5505110025405884, -9.020218849182129, 1.934170126914978, 2.6452810764312744, -7.166482448577881, -8.229194641113281, -9.036179542541504, 4.006074905395508, -9.128938674926758, -7.533390045166016, -6.847410678863525, -8.42060375213623, -7.9591288566589355, -8.534615516662598, -5.175685882568359, 3.771820306777954, -1.6540699005126953, 2.2759063243865967, 1.8440666198730469, -10.371903419494629, -8.152466773986816]"
39,HellaSwag,"[-0.8561936, 0.5075344, 0.050892033, -1.0985787, 0.08067341, -0.059987318, 0.56412154, -0.29293242, 0.31086808, -2.4316392, -0.10984891, 0.30901942, -0.68138444, -0.10578922, -0.36345047, 0.012617635, 0.06321382, -0.26223123, -64.14581, -0.014253381, -2.1398222, -0.742314, 0.12241174, -0.2541313, -0.2906684, 0.081614725, -0.21762654, -0.14675063, -0.46410742, 0.75634027]",1.0,"[-6.10095739364624, 0.14650826156139374, -10.622152328491211, 3.1337499618530273, 2.5815324783325195, -9.627314567565918, -11.271136283874512, -9.94572639465332, -11.046144485473633, -3.2184250354766846, -10.595335006713867, -9.759580612182617, -4.996888637542725, -10.51565170288086, -7.789990425109863, 2.32411789894104, -11.070321083068848, -8.296455383300781, 4.553706645965576, -6.42179012298584, 3.645106792449951, 0.11111067235469818, -4.903895378112793, -9.163639068603516, -9.620198249816895, -10.437399864196777, -9.975351333618164, -9.523760795593262, -8.302206993103027, -9.346222877502441]"
40,HumanEval,"[-0.8172329, 0.5819076, -0.39625826, -0.90497994, 0.009518808, -0.03232939, 0.45335546, -0.32638717, -0.8872048, -1.4229511, 0.16824727, 0.26324263, -0.41814828, 0.09401279, -0.3711788, -0.068256475, 0.12139881, -0.40783018, -0.37700295, 0.21805777, -1.1846864, -0.5459906, -0.06898009, -0.2600277, -0.39091438, 0.11060237, -0.23353907, 0.03313801, -0.5039145, -142.84903]",1.0,"[-12.042781829833984, -12.514130592346191, -11.874801635742188, -11.736230850219727, -11.964532852172852, -11.686854362487793, -11.56869888305664, -11.943130493164062, -12.030970573425293, 4.129392147064209, -12.486369132995605, -11.227130889892578, 1.4520080089569092, -12.174756050109863, -12.274622917175293, -11.936171531677246, 0.280464231967926, -11.355913162231445, -12.498461723327637, -9.124129295349121, 4.524514198303223, -9.745075225830078, -13.103979110717773, -11.523564338684082, -11.341569900512695, -12.73569393157959, -12.178810119628906, -12.698437690734863, -11.8425874710083, 1.1479209661483765]"
41,HumanEval+,"[-1.3550836, 0.36305112, -0.1906954, -1.0028813, 0.14811382, -0.20346032, 0.4988514, 0.17095654, -0.6200459, -1.2035673, -0.0092906095, 0.36085254, -0.47836077, 0.23090997, -0.4521263, 0.11161885, -0.096229196, -0.5801251, -0.28907612, 0.03483942, 70.54077, -0.48645288, 0.083670296, -0.044381134, -0.3707578, 0.21176933, -0.19042835, 0.25335547, -0.53718823, 0.52257246]",1.0,"[-11.329996109008789, 1.4044606685638428, -11.543874740600586, -8.67463207244873, -10.954002380371094, -10.318065643310547, -9.26330852508545, -10.728475570678711, -0.09092801064252853, 4.716738224029541, -11.339156150817871, -11.307299613952637, -10.913949012756348, -10.390071868896484, -10.930009841918945, -8.448445320129395, -0.4135892987251282, -6.906463623046875, -10.78211784362793, -10.20500373840332, -12.490887641906738, 0.3788128197193146, 1.9687761068344116, -10.853676795959473, -9.248126983642578, -9.561100006103516, -11.17605972290039, -9.80667781829834, -10.480391502380371, -10.729313850402832]"
42,Humanitys Last Exam,"[0.552532, 0.69859767, -0.44416216, -0.94710386, -0.009189339, 0.05694885, 0.8748935, -0.40990707, 4.010922, 0.9817034, -0.07200383, 0.18245362, -0.6064568, 0.29519817, -0.44088268, 0.17242354, 0.2944102, -0.39196432, -0.30931127, -83.696686, -0.18567364, 0.11225019, -0.04582213, -0.30173302, -0.15902254, 0.052872013, -0.3614465, 0.3521905, -0.46316183, -0.1513461]",1.0,"[-9.18453598022461, 2.739816665649414, 1.6738855838775635, -10.427458763122559, -9.564163208007812, -10.082273483276367, 4.18441915512085, -8.112907409667969, 4.333427906036377, -10.0016450881958, -6.671263217926025, -7.443120002746582, 1.9864040613174438, -7.922629356384277, -9.49089527130127, -9.978915214538574, -9.240347862243652, -9.746572494506836, -9.804089546203613, -10.933931350708008, -10.268789291381836, -9.513480186462402, -8.625835418701172, -9.842788696289062, -9.467791557312012, -9.125212669372559, -7.269505977630615, -9.231947898864746, -9.982924461364746, -4.723350524902344]"
43,INCLUDE,"[-0.11599087, 0.62858605, -0.2741727, -1.1414952, -0.044204406, 0.0077969553, 0.25938815, -0.17023034, 0.99837255, -0.7961118, 0.25924283, 0.41169804, -0.33761618, 0.14297989, -0.20748131, -0.0429337, 0.22504495, -0.37879825, -0.27078035, 0.15062803, -1.0205364, -66.49883, 0.21215914, -0.27140787, -0.26444334, 0.21894489, -0.26324025, 0.09905996, -0.477955, 0.5024325]",1.0,"[0.6978378295898438, -9.26535701751709, 0.07704014331102371, -2.106731653213501, 0.5763943195343018, -8.617608070373535, -0.47703906893730164, 1.7319809198379517, 1.9678553342819214, 3.603316307067871, -4.333037376403809, -9.016143798828125, 1.4902251958847046, -3.770334482192993, -4.782102108001709, -0.5811403393745422, -9.556571006774902, 0.14872944355010986, -9.772438049316406, -5.501544952392578, 2.908994436264038, 3.1349751949310303, -8.860382080078125, -6.570646286010742, -6.8489766120910645, -0.12427552789449692, 1.810507893562317, -6.386480808258057, -11.164079666137695, 0.2940598726272583]"
44,IfEval,"[-1.1928129, 0.7540177, -0.91009194, -2.9797406, -0.7686949, 0.362719, 0.54030246, -0.32171938, 2.0757046, -39.543552, 0.32717982, 0.99541163, -0.76181304, -0.150148, -1.5056872, 0.31274492, -0.117792346, -0.6420568, 0.042674392, 0.30857754, -0.5439251, -0.27448896, 0.23211244, -0.51518685, -1.4376976, -0.74821776, -0.6966659, 0.44764033, -0.3279737, 0.3176661]",1.0,"[0.07230930775403976, -12.568193435668945, -12.391935348510742, 2.730149269104004, -11.759746551513672, -11.666942596435547, -12.527929306030273, -11.898963928222656, 0.03800865635275841, 4.055375576019287, -12.4933500289917, -12.692195892333984, -11.37475872039795, -12.198887825012207, -9.384358406066895, -12.800384521484375, -12.597696304321289, 3.9520699977874756, -12.507805824279785, -11.994678497314453, 2.0950686931610107, -11.50861930847168, 0.9781367778778076, -12.31403923034668, -10.495635032653809, -12.693660736083984, -11.20716667175293, -12.145380973815918, -12.245168685913086, -12.588765144348145]"
45,IfEval strict,"[-0.56797963, 0.6432316, -0.20939885, -1.2115242, -0.116600245, 0.0011856582, 0.6443995, -0.20649421, -0.4365538, -1.0426896, 0.06236837, 0.31659037, -0.19892104, -0.020712314, -0.5353142, -87.0326, 0.080811724, -0.37514314, -0.2623618, 0.27067336, -0.8686904, -0.58761, 0.11963018, -0.021703064, -0.55876523, 0.094546355, -0.3953416, -0.058992226, -0.54042774, 0.14662008]",1.0,"[-3.7227935791015625, -11.049263000488281, -6.016279697418213, 2.1771202087402344, -10.632776260375977, -9.95823860168457, -10.969003677368164, -8.589737892150879, 2.2981622219085693, 3.878150463104248, -9.543294906616211, -9.833792686462402, -9.929271697998047, -9.76220703125, -0.3468095362186432, 4.294821262359619, -9.996923446655273, 3.700371026992798, -0.8647261261940002, -5.872715473175049, 1.5565199851989746, -10.86723804473877, -9.031373023986816, -1.3831449747085571, -9.95561695098877, -9.520551681518555, -11.248331069946289, 0.4566939175128937, -9.581158638000488, -10.781181335449219]"
46,LAMBADA,"[-2.0596254, 0.6013399, 0.19108076, -1.2570525, -0.004580435, 0.17434575, -1.402034, 0.54856926, -0.20077321, -2.3571775, -0.046235293, 1.224386, -2.4560173, -0.41500986, -0.43448937, 0.638819, 0.45274532, -0.25339577, 0.41617832, 0.15400329, -3.0918345, -0.39500767, -54.913464, -0.028806178, -0.9309851, -0.19672042, -0.52394176, 0.18234803, 0.02833319, 0.7698607]",1.0,"[-0.11465918272733688, -2.768550157546997, -0.013793941587209702, 2.289883852005005, 2.79319167137146, -5.7664337158203125, -0.8217726945877075, -0.28357556462287903, -4.815283298492432, 1.6407135725021362, -3.057265043258667, 0.5130693912506104, 2.415904998779297, 1.8019920587539673, -3.8516361713409424, -4.5574517250061035, -5.8495988845825195, -6.370626926422119, -0.5841625928878784, -0.56389981508255, 3.302337408065796, 2.6026241779327393, 4.255562782287598, -3.358088731765747, 1.4609144926071167, 0.49434831738471985, 1.3782567977905273, -6.569186210632324, -3.435786008834839, -0.774200975894928]"
