benchmark_id,benchmark_name,estimated_difficulty,slope,mask
0,AI2D,"[2.1273208, -0.7336438, -3.4304008, 0.35571787, 0.15285923, 0.15139614, 0.22406515, -0.89034516, -14.336562, -0.3739237, -0.3076763, -0.62540483, -0.7755671, 0.71459997, -0.47027645, -0.19299343, 4.49244, 2.4007888, -1.8678194, 0.12695825]",1.0,"[-3.551017999649048, -7.689639568328857, -9.078845024108887, -9.190781593322754, -8.8555908203125, -9.875405311584473, -8.841047286987305, -8.815539360046387, 3.6240570545196533, -8.872183799743652, -9.310921669006348, 3.576855421066284, -9.41639518737793, -9.964927673339844, -2.302055597305298, -4.414749622344971, -5.703630447387695, -9.95142936706543, 4.293090343475342, -9.856624603271484]"
1,AIME 2024,"[-0.42504367, -0.0741314, 0.072127126, 0.053372085, -0.019003216, -0.27327323, 0.14631547, -0.73156965, 0.059752356, 0.24010277, -0.13138998, 0.05134668, 106.17083, -0.34995338, -0.10920155, -0.22643593, 0.21235196, -0.46239278, -0.9621848, -0.29418564]",1.0,"[-6.754729747772217, -9.915472984313965, 11.439784049987793, -4.768132209777832, -5.255218982696533, -6.84295654296875, -6.334483623504639, -7.889921188354492, -8.105770111083984, -6.998812675476074, -8.2671480178833, -7.495197296142578, -9.069989204406738, -8.301533699035645, -8.148863792419434, -7.647556304931641, -8.57747745513916, -8.51824951171875, -7.106323719024658, -9.21976375579834]"
2,AIME 2025,"[-0.15490362, -0.20451763, 0.42294747, 0.018107707, -0.09771415, 0.0567731, 0.068670645, 126.63718, 0.07638353, 0.23661985, -0.106884405, -0.021242913, -0.23509832, -0.23228827, -0.33098838, 0.129401, 0.072509594, -0.4277479, -0.44389665, -0.040120456]",1.0,"[-9.580906867980957, -10.810139656066895, 8.930357933044434, -8.559788703918457, -9.54747200012207, -9.978517532348633, -10.087675094604492, -12.657963752746582, -10.370683670043945, -11.058394432067871, -10.679864883422852, -10.437255859375, -9.256570816040039, -10.261930465698242, -9.208949089050293, -10.370369911193848, -10.189051628112793, -10.229453086853027, -3.438415050506592, -10.543389320373535]"
3,AIME 2026,"[1.6003903, -6.3865294, 0.24744919, 8.227587, 0.43159056, -0.12516434, 2.836273, -1.5068239, 0.01834077, 0.60405964, -0.5228108, 0.48508766, -0.026522314, -0.13066192, 0.39146742, 0.33840203, 0.526721, 0.34133607, 2.9493322, -0.8141494]",1.0,"[1.6691570281982422, 5.203714847564697, 3.512007236480713, -8.299349784851074, -4.636791706085205, 1.348244309425354, -4.358093738555908, -2.393364429473877, -7.695963382720947, -3.9084103107452393, -5.694791316986084, -4.604419708251953, -5.857790946960449, -2.6843502521514893, -7.150044918060303, -7.382391452789307, -1.867836833000183, -5.147343158721924, -0.9760351181030273, -4.764774322509766]"
4,ANLI,"[1.0639123, -0.37373456, -1.1649678, -11.530079, -0.75817585, 0.7132486, 0.6505733, 2.3316362, -0.32047802, 0.38974187, 0.36717328, -0.28065023, -0.52169716, -0.82623476, -2.0074086, 0.36279038, -1.8840482, -2.426156, 0.045035623, -1.2626399]",1.0,"[2.4056553840637207, 2.4175119400024414, 1.2365617752075195, -2.3885531425476074, 3.3897292613983154, -4.149209022521973, 0.17558784782886505, 2.081508159637451, -0.3034650981426239, 1.2524832487106323, 1.1958274841308594, 2.0758771896362305, -6.145578861236572, 0.8615930676460266, 1.918170690536499, -5.89703893661499, 4.202033996582031, -4.466080665588379, 1.2096071243286133, -0.7125352025032043]"
5,ARC AI2,"[-1.0339892, -0.238293, -1.4877552, 0.29466635, -0.72664505, 0.22000189, 0.45599377, 0.0037972517, -0.026913824, 0.249615, 8.971876, -0.08030792, -7.693857, -0.8020523, -0.03478247, -0.009836264, -1.707858, -0.30456495, 0.96275777, 0.8057758]",1.0,"[-11.082711219787598, -11.433122634887695, -12.23169231414795, -12.022822380065918, -11.118382453918457, -11.948905944824219, -12.084484100341797, -11.759239196777344, -12.360992431640625, -11.593863487243652, -13.51764965057373, -11.19477653503418, 3.683908224105835, -11.616618156433105, -10.24506950378418, -9.061938285827637, 3.6986300945281982, 3.96147084236145, -10.426732063293457, -12.044858932495117]"
6,ARC-AGI,"[0.5418458, -0.4578888, 2.6687853, -2.0297506, -0.03424775, 0.22101943, 1.199663, -1.1178994, -0.55570686, 0.3489484, 0.5823404, 0.077642545, -0.082136735, -0.768279, 0.20786646, -0.3009363, -33.96588, 0.99844503, -0.9656034, 0.097145535]",1.0,"[-6.484545707702637, -8.664301872253418, 11.553144454956055, -7.4132161140441895, -7.8622636795043945, -8.359502792358398, -7.043166637420654, -8.225852966308594, -8.883805274963379, -8.668925285339355, -9.322449684143066, -6.660943984985352, -1.593126654624939, -8.177597045898438, -8.610081672668457, -8.207396507263184, -8.162313461303711, -7.895265102386475, -8.11109733581543, -8.128965377807617]"
7,ARC-AGI 2,"[2.4401538, -0.14560945, 0.9543325, 0.6865243, 0.10898426, -0.27897495, 0.9545266, -2.3728452, 18.978563, -0.10529778, 0.24542597, 1.0324278, 0.17685561, 0.70452327, -0.3485975, -0.08406683, 2.2469318, 1.0674787, -0.64078027, 0.34081632]",1.0,"[13.150280952453613, -5.0264892578125, -4.174234390258789, -5.776648998260498, -4.974126815795898, -5.0394062995910645, -6.022149562835693, -5.889558792114258, -6.431066989898682, -5.366522789001465, -5.415132522583008, -6.228175163269043, -5.372838020324707, -4.868021488189697, -5.847216606140137, -7.115750312805176, -5.2464494705200195, -5.792857646942139, -5.290976524353027, -4.61578893661499]"
8,Aider polyglot,"[-0.42340565, -0.14144298, 0.9034832, -0.009412358, -0.21271686, -0.20451318, 78.64859, -0.49162874, 0.040665552, 0.27378738, 0.06759633, -0.013755255, -0.0914209, -0.22315444, -0.1751246, 0.29475266, 0.41666296, -0.38542992, -0.66145307, 0.055719156]",1.0,"[-9.38516902923584, -9.953140258789062, 4.362546920776367, -10.154936790466309, -9.033744812011719, -8.766297340393066, -11.457058906555176, -9.500419616699219, -9.675400733947754, -10.23631763458252, -9.997649192810059, -8.722882270812988, 4.047424793243408, -9.938178062438965, -9.374616622924805, -8.690043449401855, -8.561610221862793, -9.523043632507324, -7.162890434265137, -10.436885833740234]"
9,Arena-Hard,"[-2.7269068, 0.24656709, -1.8547803, 0.28041828, -8.775149, 0.22183993, 0.6267044, 0.53155047, 0.17692284, -0.50855553, 0.33252585, -0.2189642, 12.136939, -1.2206424, 0.07165452, -0.07770639, -0.68137497, 0.21434319, -0.5105299, 0.5512624]",1.0,"[-5.888591289520264, -6.263635635375977, 5.700100421905518, -6.104847431182861, -5.631966590881348, -6.859179496765137, -7.678332328796387, -6.820192337036133, -6.064957618713379, -6.241145610809326, -6.234793663024902, -5.810033321380615, -8.561972618103027, -6.304809093475342, -6.4320549964904785, -6.266414642333984, -5.7299299240112305, -6.708486080169678, 8.49177360534668, -7.01479959487915]"
