model_id,model,estimated_capability
20,Kimi-K2-Base,"[0.1271443, 1.8960814, -0.71644783, 0.5033933, 0.37427288, -0.40866858, 0.41745022, 0.12746719, 0.699691, 0.054591335, 0.4906662, 0.23461021, 0.3734239, 0.024732245, 0.18692888, 0.64644647, 0.7107559, 0.020051893, 1.2706153, -0.35641825]"
21,Kimi-K2-Instruct,"[-0.57779235, -0.082216084, 0.6009312, 0.034100935, 0.36068463, -0.2704177, 0.47987908, 0.23260114, 0.29889163, 0.14175369, 0.25359207, -0.24673375, -0.14985111, -0.06119762, 0.49552727, -0.109109275, 1.4118258, 0.3748647, 1.9550653, -0.34051585]"
22,Kimi-K2-Instruct-0905,"[-0.46925756, 0.068979576, 1.0244746, -0.03931854, -0.016328543, 0.12032652, 0.2059184, -0.06484048, 0.26433435, 0.09076776, -0.1150749, 0.16936366, -0.18937656, 0.25417197, 0.3278841, -0.29004726, 1.0917912, 0.2122142, 1.1522839, 0.17277484]"
23,Kimi-K2.5_thinking,"[1.9815611, -0.48678473, 2.2207336, -1.0882691, 0.42096072, -0.04550304, -0.034711096, 0.12978736, 0.19515248, 0.1828223, 0.27769047, 0.14360593, 0.08357646, -0.38912973, 0.4836096, -0.024042245, 0.7899193, 0.30349916, 3.2529738, -0.34395966]"
24,LLaMA-13B,"[0.5084865, -0.17788972, -0.56765914, 0.26500595, -0.5289503, -0.5491182, 0.3246384, 0.19469664, 0.8894686, -0.81412226, 0.64776087, -0.49771148, -2.743711, -0.41311002, 0.72882, -3.0707345, -3.025389, 0.3799102, -0.6794877, -0.3736285]"
25,LLaMA-33B,"[1.1974622, 0.32492325, -0.40156627, -0.52169806, 1.1712085, 1.3863719, 0.9100461, 0.40037724, -0.122751065, -0.023995921, 1.163048, 0.5042682, -1.3414099, -2.4383993, 0.57489747, 0.13748077, -2.2191076, 0.77278644, -0.82462025, 0.69187385]"
26,LLaMA-65B,"[-0.24504343, -0.1647677, -6.5420966, 0.40147436, -0.056299176, 0.539193, 0.034624264, 0.2708334, -0.62776434, 0.29161635, -0.4877139, -0.5468806, -1.4374381, -0.11358303, 1.856172, 0.4607609, -0.17579997, -0.39424354, 0.32201117, -0.6642244]"
27,LLaMA-7B,"[0.93289423, -0.7679412, -0.19515604, -0.17708144, 1.4275705, -0.5871457, -0.6518348, 0.7885721, -1.0385603, -1.2819812, -0.31278026, -0.47718322, -2.5990138, -0.47989264, 0.9693792, -1.0374963, -3.8437636, -0.12418376, -1.4266123, -0.22680096]"
28,Llama-2-13b,"[0.86259836, -0.56492245, 0.051387876, -0.34587327, -1.5154357, -0.0010055117, 1.2900447, 2.012505, -0.21346244, 1.2522473, -1.5899389, 0.28300446, -1.2563655, -0.22045152, 1.5377045, 0.0063754134, -2.5326478, 0.5587747, -1.4187368, -0.16016173]"
29,Llama-2-34b,"[-0.6649901, 0.64338464, -1.0090092, -0.69424987, 1.5569438, 3.246486, 0.49420932, -0.6104006, 0.619189, -0.10613831, -1.0418208, 0.14416432, -2.0445404, 0.76550066, 1.6701295, 0.12442345, -1.4757656, -1.0414565, -0.3419462, -0.37037697]"
30,Llama-2-70b-hf ,"[-1.1628618, 0.78728014, 0.5001682, -0.15419899, 0.18479557, -1.0647311, -0.60785204, -0.05715476, -1.304147, -1.1254246, 0.7789566, -1.283884, -0.8099331, 1.0521542, 0.40688765, -0.08668258, -1.361979, 0.20808007, 0.09644144, 1.6268938]"
