model_id,model,estimated_capability
87,Qwen2.5-32B,"[-0.13655223, 0.59034, 0.49461073, -0.01560389, 0.19047274, 0.43510002, 0.9793535, -0.027126111, -0.94159406, -0.37727565, 0.7653112, 0.24988937, 0.17487514, -0.30558914, -1.0643806, -0.3369066, 0.0045489273, -0.32690936, 1.2901628, 0.6913015]"
88,Qwen2.5-3B,"[-0.24208558, -0.45857397, -0.037296508, 1.4181397, -0.78794044, -0.91282046, -0.3920266, 1.1880678, 0.34487176, -0.07662108, -0.17021978, -0.3698692, -0.64834225, 0.78932816, -1.2243077, -0.64411163, -1.1186562, -0.36442453, -1.0840797, 0.97570956]"
89,Qwen2.5-3B-Instruct,"[-0.50522363, 0.088226505, -2.62149, 0.65216786, 0.1521667, 0.045121066, 0.047923204, 0.1054745, 0.3403069, 0.24783155, -0.043673214, -0.1985678, -0.38071492, 0.0076657096, 0.16600867, 0.26313293, 0.5428385, 0.13226761, -1.2324224, 0.2744044]"
90,Qwen2.5-72B,"[-0.1274887, -0.01417201, 0.7203832, -0.08784997, 0.14169064, 0.2518338, -0.49330047, 0.35829327, 0.5418844, -0.23373556, -0.12352662, -0.24637425, -0.31858936, -0.27605978, -1.0150874, -0.07755173, -0.22171676, 3.7455559, 1.4499437, 0.4290238]"
91,Qwen2.5-7B,"[-0.119487755, 1.1985534, -0.7466904, -1.0973165, -0.16525207, 0.064038545, 0.45369303, -0.24866766, 0.63661796, 0.44035566, -0.088985816, -0.2290478, 0.71547747, 0.14512192, 0.21243602, 0.71594137, -0.3711308, -0.8157487, -0.60649484, -0.057490762]"
92,Qwen2.5-Coder-32B-Instruct,"[-0.43434945, 0.23220743, -1.8435318, -0.10949812, -0.7334842, 0.6068067, -0.2904399, 1.2097118, -0.15099326, 0.49660835, 0.30517647, 0.038822167, 0.13941711, 0.614979, 0.76659757, 0.61852777, 1.288768, -0.6219543, -1.2961, 0.13037324]"
93,Qwen2.5-Coder-7B-Instruct,"[0.08249682, -1.0777894, -2.7823398, 0.1718237, -0.7114779, -0.91417485, -0.12326879, -0.6355954, 0.6240906, -0.01732125, 0.007305195, -0.4979627, -0.095353484, 1.3108218, -0.20122615, -0.8585653, 0.7823081, -0.9186606, -1.8550786, 0.4473223]"
94,Qwen2.5-Omni-7B,"[2.0662863, -0.0654461, -3.5935624, -0.25098643, -0.3523225, 0.0177141, 0.6264924, 0.21861164, 0.37849826, 0.5134327, 0.30345973, 0.54661924, -0.29937375, -0.71521074, 0.66177315, 0.4539989, 0.73838425, 0.7608935, 1.2146161, -0.043129113]"
95,Qwen2.5-Plus,"[0.6817816, -0.046524193, 0.07367878, -0.5102093, 1.2604345, 0.11300532, 1.0364097, 0.23165125, 0.27745467, 0.69116956, 0.08881972, 0.206239, 0.15905532, -0.12043224, -1.0271512, -0.14668107, 0.04595615, -0.31393874, 1.5071447, -0.46123412]"
96,Qwen2.5-Plus-Instruct,"[-0.56529355, 0.4314239, -1.2538015, -0.39101022, 0.4212972, 0.25358477, 0.3732867, 0.19584614, 0.36357072, 1.1137261, 0.21244244, -0.16619733, 0.46209925, 0.93833584, 0.21654975, 0.44304132, 1.265817, -0.32467428, 0.97662705, 1.177669]"
97,Qwen2.5-Turbo,"[-0.4596665, -0.46456602, 0.026921367, 1.7190787, 0.72816515, -0.867444, 0.26500443, -0.050975908, 0.3114271, -0.23775275, -0.98866147, 0.38645288, -0.008041927, -0.5971604, -1.0852368, -0.38209677, -0.2289622, -0.65115446, 0.676895, -0.058819022]"
98,Qwen2.5-Turbo-Instruct,"[0.18140876, 0.37353164, -1.4156185, 1.3245558, 0.13847435, -0.777056, 0.52954686, -0.23045528, -0.5400954, -0.7969207, -0.40996307, -0.4097354, -0.54472476, -0.5551132, -0.13805081, 0.22476895, 1.1503519, -1.1623368, 0.18578592, -0.94261813]"
99,Qwen2.5-VL-32B-Instruct,"[1.1539152, 0.69592786, -1.7137654, -0.4124043, 0.79944545, 0.02365915, 0.19391944, -1.4960232, 0.4039798, 1.4861459, -0.37228224, 0.13267387, -0.20907973, 0.20210345, -1.0817685, -0.08317834, 1.4955707, -0.7748837, 1.3089672, 0.8702305]"
100,Qwen2.5-VL-72B-Instruct,"[-0.6238156, 0.59694725, -1.0405586, 0.29231313, 0.61601317, 0.22724178, 0.56700194, 0.9720747, 0.22456828, 0.8584134, -0.13136128, 0.22804892, 0.097764686, -0.3047384, 0.0060062064, -0.504787, 1.6119053, 0.25473607, 0.50247115, -0.4597309]"
101,Qwen3-0.6B,"[-0.022247894, -0.25348422, -2.713433, 0.21944933, 0.14043042, 0.3184918, 0.3912267, 0.4390948, 0.50250846, 0.032335706, 0.2921136, -0.17712815, -0.100372255, 0.18740873, 0.32100064, -0.4686639, -1.1197673, 0.42631638, -2.007949, -0.02226983]"
102,Qwen3-0.6B-Thinking,"[0.08316161, -0.18001325, -1.4572948, 0.4380793, -0.1845648, 0.3750559, -0.18324955, 0.08794075, 0.030521322, 0.39731362, -0.056806985, -0.22550112, -0.2918111, 0.2728677, -0.26368868, 0.1683223, -0.301176, 0.77222645, -1.4301869, 0.06856964]"
103,Qwen3-1.7B,"[-0.12940699, -0.26058704, -1.6241637, 0.4499581, 0.24024045, 0.16661306, 0.31297898, 0.21279564, 0.19748738, 0.17409706, -0.44890746, 0.14201571, -0.19006236, 0.2129735, 0.010085265, -0.3270041, -0.668393, -0.07662854, -0.94902396, 0.042581506]"
104,Qwen3-1.7B-Thinking,"[-0.25988057, 0.029585423, 0.026847998, 0.15836021, 0.36246422, 0.12992406, -0.05668615, -0.6387407, 0.025024716, 0.62297845, -0.4181224, -0.5486189, 0.019905651, 0.4386313, -0.39147145, 0.12596403, 0.43384537, -0.33810598, -0.77632546, -0.043683942]"
105,Qwen3-14B,"[-0.10099448, 0.21839945, -0.5240561, -0.38021007, -0.24723631, 0.37506554, 0.1657869, -0.26359406, 0.43235022, 0.1464281, -0.16102459, 0.46215078, -0.21377817, 0.6550556, -0.31375688, 0.27911124, 0.1300896, 0.19054231, 1.1247163, 0.10900834]"
106,Qwen3-14B-Thinking,"[-0.17325294, -0.009717357, 1.4917296, 0.5052447, 0.18701746, 0.21086808, -0.036425553, 0.23011447, 0.6692077, -0.015594677, 0.2769143, 0.08357599, 0.017755032, -0.35963726, -0.018700168, -0.065331146, 0.405143, 0.42970282, 1.4552623, -0.32416773]"
107,Qwen3-235B-A22B,"[-0.5343358, -0.12153786, 0.14504641, 0.47884968, 0.1751663, -0.16265593, -0.15968189, -0.086406834, 0.6389997, 0.42042243, -0.22156024, -0.12635884, 0.20624346, -0.17566131, -0.014055097, 0.21849819, 0.43211827, 0.13688585, 2.3399847, 0.05276351]"
108,Qwen3-235B-A22B-Instruct-2507,"[-0.9515398, -0.15196021, 1.9375521, -0.05959608, 0.06987646, -0.16035008, -0.013164855, -0.16428553, 0.68989134, 0.16600625, -0.29183275, 0.59199786, 0.19159807, 0.21528636, 0.302531, 0.47886783, 0.89069253, 0.035219528, 1.7312089, 0.02670109]"
109,Qwen3-235B-A22B-Thinking,"[-0.15175702, -0.19365436, 1.841927, 0.015594872, 0.19243042, -0.121200815, 0.12843746, 0.067560606, 0.5273295, -0.1857976, 0.3168187, -0.23365001, -0.4593878, 0.18317315, 0.08363467, -0.27053818, 0.7757437, 0.2611733, 2.0421166, -0.1471179]"
110,Qwen3-235B-A22B-Thinking-2507,"[-0.32300517, 0.026215825, 1.6771711, -0.004722731, -0.10638667, -0.13852108, 0.09652821, -0.048512377, 0.4879783, -0.0433051, 0.13371067, 0.071039826, 0.019396132, 0.26391667, 0.21023643, -0.12513871, 1.1287901, 0.28170612, 2.0555036, 0.15626311]"
111,Qwen3-30B-A3B,"[-0.9104773, -0.20138717, -0.17154062, 0.102458745, 0.14007455, -0.34229523, 0.100603685, 0.3309707, 0.10427019, 0.3851539, -0.5367559, -0.041559458, -0.12694028, 0.4642129, -0.49301848, -0.30357137, 0.21454142, 0.09222614, 1.4059174, -0.14700563]"
112,Qwen3-30B-A3B-Thinking,"[0.0249812, 0.12164126, 1.55449, 0.10830829, 0.39809147, -0.20280427, 0.23418051, 0.25875553, 0.32847095, 0.058906734, 0.08229712, 0.12995453, -0.43369344, 0.2061312, 0.27686575, -0.20303039, 0.20504808, 0.3437151, 1.2164526, -0.10006158]"
113,Qwen3-32B,"[-0.7612168, -0.39352795, -0.06479283, 0.19062674, 0.5495523, -0.70135075, -0.09231497, 0.08034994, -0.044747118, 0.30173093, 0.23376398, -0.8315004, 0.049557246, -0.43721807, 0.3641573, 0.28752497, 0.3443877, 0.22520046, 1.8722365, 0.11175365]"
114,Qwen3-32B-Thinking,"[-0.1575616, -0.089225024, 1.789019, 0.49782526, 0.31098998, -0.3926844, 0.11403134, 0.16654707, 0.08063967, -0.07399051, 0.5441936, -0.14141819, -0.5537871, -0.068873, -0.062028572, 0.0924573, 0.37874088, 0.8029422, 1.2607305, 0.02674581]"
115,Qwen3-4B,"[0.56814766, -0.33138096, -0.90909916, -0.0012044918, 0.25487587, 0.47552222, -0.36071274, -0.28634292, 0.58184946, -0.076462224, 0.5064253, -0.06223256, -0.2772081, 0.5632521, -0.23519428, 0.25746784, -0.22252372, 0.53137374, -0.05329734, 0.13168505]"
116,Qwen3-4B-Thinking,"[-0.13213177, -0.038962796, 1.2038136, 0.2854732, 0.16233964, -0.16820598, 0.1663891, -0.12753113, 0.38584134, 0.38824198, 0.12766188, -0.20825592, -0.5758586, 0.42735496, -0.18692578, -0.2043864, 0.045535706, 0.11616519, 0.3688613, -0.0660929]"
117,Qwen3-8B,"[-0.3651062, -0.029938767, -0.86141926, 0.54939675, 0.44861344, -0.4107676, -0.039402947, 0.16357566, 0.17528066, 0.26237902, -0.50961095, 0.30283302, 0.22678354, 0.31684384, 0.2421814, -0.13844214, 0.506264, 0.5039696, 0.16636008, -0.27765238]"
118,Qwen3-8B-Thinking,"[-0.1276628, 0.06867711, 1.3609936, 0.25351018, 0.33936715, 0.18748216, -0.008862629, 0.13824013, 0.40667203, 0.05260849, -0.01212901, 0.14563479, 0.009813515, 0.17487699, -0.014120372, -0.23198941, 0.4231367, 0.85144275, 1.1019982, -0.21657307]"
119,Qwen3-Next-80B-A3B-Instruct,"[0.37654972, 0.39615756, 1.2210361, -0.062640175, -0.04686362, -0.17334402, 0.116523065, -0.18932635, 0.40343344, -0.07959996, -0.025729101, -0.015830308, 0.10382377, 0.32820466, 0.12785047, 0.28878155, 0.48612517, 0.13769019, 1.1822783, -0.26659593]"
120,Qwen3-Next-80B-A3B-Thinking,"[-0.035543498, 0.043493282, 2.0105193, 0.295734, 0.10603312, -0.058663037, -0.056546856, 0.008046259, 0.42345017, -0.4058956, 0.12474989, 0.10933482, 0.29497543, 0.3789884, 0.4302972, 0.0295368, 0.7904342, 0.24123743, 1.1867583, -0.08623268]"
121,Qwen3-VL-235B-A22B-Instruct,"[-0.40803906, -0.10192256, 1.3069407, 0.1129769, 0.030950706, 0.14675693, 0.42731073, 0.30795535, 0.5462489, 0.009559536, 0.104232274, 0.051961627, 0.21588562, 0.15456289, 0.047441334, 0.5120349, 1.0792072, 0.053850926, 1.2851443, 0.27683303]"
122,Qwen3-VL-235B-A22B-Thinking,"[-0.5162829, 0.2897382, 2.4523878, -0.17707749, 0.35329062, -0.08314052, 0.06211081, 0.17858157, 0.14573474, -0.012039278, -0.20674786, 0.26752266, 0.19035192, 0.25221273, 0.44774958, -0.110160284, 1.0622482, 0.31430334, 1.2023888, 0.015373213]"
123,Qwen3-VL-30B-A3B-Instruct,"[-0.08458632, 0.32253212, 0.5727057, 0.1078452, -0.21877825, 0.048067044, -0.2268601, -0.15848914, 0.45527366, 0.18113883, 0.38522878, 0.06515838, -0.05509409, 0.47162774, -0.07538463, -0.3932264, 1.2915242, -0.6743765, 0.92453116, 0.11416771]"
124,Qwen3-VL-30B-A3B-Thinking,"[-0.37062064, -0.01598741, 1.7227048, 0.47696394, 0.31294355, 0.41181308, -0.061680973, 0.35500324, 0.5765353, 0.2037966, 0.43130517, -0.024131034, 0.06959894, 0.4086229, 0.17165902, -0.38424775, 0.6493279, 0.34176767, 0.64489645, -0.11432733]"
125,Qwen3-VL-32B-Instruct,"[-0.6070919, 0.063741885, 1.1800294, 0.13695535, 0.6835392, 0.3553646, 0.5078438, 0.06956672, 0.641409, 0.11037089, -0.19992065, 0.0619701, -0.20530862, 0.08370906, 0.15549374, -0.33548275, 0.508147, 0.5650733, 1.3153925, -0.7020277]"
126,Qwen3-VL-32B-Thinking,"[-0.14090587, 0.25281814, 1.8431844, 0.33878478, 0.1120686, 0.005429653, 0.19611071, 0.2430591, 0.0554608, -0.001721659, -0.09604894, 0.005732452, 0.33809072, 0.8960105, 0.18318301, 0.45407537, 0.5607989, -0.05102175, 1.4602975, 0.08099423]"
127,Qwen3-VL-4B-Instruct,"[0.28356376, -0.00091944146, 0.31855437, 0.33422533, 0.17076515, 0.039891228, 0.38533196, -0.22368546, 0.10052183, -0.1670084, 0.4293154, 0.10358966, 0.05765222, -0.2684968, -0.07411175, 0.32133344, -0.09056224, -0.36429214, 0.014996642, -0.002299305]"
128,Qwen3-VL-4B-Thinking,"[0.4442289, 0.91905576, 1.1261239, -0.3366619, 0.6787189, 0.21861792, 0.15113896, -0.04420255, 0.031115036, 0.325514, 0.1651728, -0.4160475, 0.4842835, 0.27619004, -0.14225066, 0.5235571, 0.062248006, 0.6475486, 0.7298293, -0.16307642]"
129,Qwen3-VL-8B-Instruct,"[0.58855546, -0.35660872, 0.16652958, 0.5974228, 0.0041919122, 0.16189857, 0.3384249, 0.1456818, 0.018476378, 0.5722825, -0.006271619, 0.22416979, 0.09220311, -0.23116937, 0.15725145, 0.03198693, 0.36176613, 0.3094465, 0.4694979, -0.10445612]"
130,Qwen3-VL-8B-Thinking,"[-0.3091196, -0.26892355, 1.7017692, 0.5290891, 0.4067672, -0.33406746, -0.035453506, 0.37788, 0.20801835, 0.109002866, -0.264696, 0.200478, 0.2031971, 0.20663548, -0.11267189, 0.46408927, 0.34950027, 0.25252742, 0.4009956, -0.26030594]"
131,Qwen3.5-0.8B,"[-0.20874973, 0.07977805, -1.9432182, -0.26050144, -0.121129185, 0.2349551, 0.24804363, -0.43575296, 0.44401488, 0.24262783, -0.17332588, 0.018518345, -0.118561685, 0.05357554, -0.110563986, -0.53396976, 0.08395482, 0.6724524, -2.1579409, 0.17611128]"
132,Qwen3.5-122B-A10B,"[1.716462, -0.083427526, 1.6905229, -0.037278466, -0.34959036, -0.11641338, 0.17476358, 1.3537121, 0.16511495, 0.24103175, -0.13681051, 0.2835012, -0.19981194, 0.11251842, 0.30221418, -0.4160534, 1.1547304, 0.50569147, 1.9516602, -0.09593929]"
133,Qwen3.5-27B,"[0.6340654, 0.014423385, 1.3567319, 0.030091811, -0.11719462, -0.032039937, 0.3599713, 1.047904, 0.32149997, 0.8525374, 0.14956784, 0.28785664, 0.22714926, 0.013024188, 0.20599905, -0.41397488, 1.1411527, 0.19692288, 2.912468, 0.06820001]"
134,Qwen3.5-2B,"[-0.44325143, 0.15137017, -0.29221582, -0.64805233, 0.14526309, 0.069553964, 0.42813852, 0.32768926, 0.0825473, 0.4371701, 0.061489195, -0.11079204, -0.37213245, 0.6220284, -0.12208585, -0.21587491, 0.24510464, 0.95011157, -0.34241146, -0.28198346]"
135,Qwen3.5-35B-A3B,"[1.7211807, 0.5142249, 1.1823548, 0.14481075, -0.49674022, 0.20367694, 0.33217102, 1.0487283, 0.30894452, 0.114205666, 0.6234825, 0.55026907, 0.17848423, 0.8319353, 0.16271545, -0.2570254, 1.3507237, 0.4841423, 2.0014482, -0.19104894]"
136,Qwen3.5-397B-A17B,"[1.3824676, 0.1896476, 2.655979, 0.26527178, -0.13872884, -0.18491648, -0.109047174, -0.20647134, 0.044392712, -0.86626136, 0.41629064, 0.23659687, -0.27130803, -0.54045033, -0.7393442, -0.5277254, 1.2160823, 0.89919835, 2.7332115, 0.29038432]"
137,Qwen3.5-4B,"[-0.7212846, 0.5955293, 1.4655943, 0.44663656, 0.33286673, -0.03932334, -0.20657401, 0.9996516, 0.3857226, 0.71571517, -0.7810548, 0.3125046, 0.2940225, 0.37368226, -0.032228295, -0.6172169, 1.0499772, 0.03241389, 0.5552666, 0.21715653]"
138,Qwen3.5-9B,"[-0.54957736, 0.58899, 2.4611382, 0.64836407, 0.121247485, 0.3771966, 0.6976041, 0.31847504, 0.04089083, 0.41196233, -0.45225838, 0.043195017, 0.16330817, -0.42352122, -0.78837514, -0.032933045, 0.3755878, 0.8650626, 1.6583695, 0.069704175]"
139,Qwen3.6-Plus,"[0.6766015, 0.4025179, 2.8248436, 0.58436495, 0.49939924, 0.42891425, 0.18798406, 0.7328478, 0.20703533, 0.54266363, 0.17880674, 0.4550699, 0.6416624, 0.46024677, 0.31365737, -0.47152922, 1.3427765, 0.3356474, 2.1742592, -0.41491306]"
140,Yi-1.5-34B,"[4.371907, 0.79782075, 0.6626449, -0.38319835, 0.6121118, 0.12204786, 0.430416, 0.42569795, 0.15211882, 0.7665641, 0.02743224, 0.2335525, -0.2628855, -0.4308247, -1.0731297, -0.03744466, -0.746899, -0.05360927, 0.7699582, -1.1990675]"
141,Yi-1.5-34B-Chat,"[0.17500776, -0.2056766, -2.178831, -0.008206611, 1.2414045, 0.23981375, -0.3048441, 0.58564687, -0.8791571, -0.1033932, -0.5830001, 0.47252932, 0.17303655, -2.048916, 0.07893146, -0.63313204, 0.29447573, 0.11468334, -0.98386514, 0.14603]"
142,Yi-6B,"[0.6074013, 0.16524263, -1.7218256, -2.00463, -0.6365959, -0.7992451, -0.053539537, 0.93865246, 0.2635638, -1.0210778, -0.7728785, 0.17905895, -1.8541176, -0.30036214, 0.8620939, 0.6168775, -1.6817757, -1.1564559, -0.43300128, -0.7390252]"
143,amazon.nova-lite-v1:0,"[-0.44152758, -0.3950807, -1.99477, 0.76362187, 0.58433145, 0.13681689, 0.19427553, 0.44906595, 0.9232784, -0.0026036082, 0.04435792, 0.5424348, 1.2521758, -0.49298787, 1.1678662, 0.17092887, 0.8253638, 0.82395464, 0.2866703, 0.04779502]"
144,amazon.nova-micro-v1:0,"[0.11966916, 0.5054387, -2.357039, 0.3441842, 0.5298626, 0.262814, 0.4676533, 0.11781089, -0.18698773, 1.012214, 0.13713138, -0.4441188, 0.46798095, -0.99912304, 0.71961313, -0.25168496, 0.9379194, 1.0508925, 0.21888423, -0.37197444]"
145,amazon.nova-pro-v1:0,"[0.7815944, 0.6021775, -1.5650098, 0.23641112, -0.5770734, -0.21201809, 0.35986096, 0.11273702, 0.10046804, -0.01038017, 0.33952382, 0.9417873, 0.72993535, -0.34051928, 0.841192, 0.12253458, 1.0280178, 1.3875983, 0.5656332, 0.15256485]"
146,c4ai-command-r-plus-08-2024,"[-1.0952358, 0.57799596, -1.9535295, -0.48735413, 0.013881217, -0.3275623, -0.62710714, -0.35704982, -0.49641895, -0.06799702, -0.25353914, -0.8580036, -0.09797293, 0.23346105, -0.36813697, -0.10990661, -0.18348214, 0.430035, 1.7844162, 0.29842556]"
147,chatglm2-6b,"[0.21663775, 1.0012935, -0.9919195, 0.0798012, 0.3633717, -0.87682414, 1.921712, 0.22200002, 0.86119187, -4.1273317, 0.34999344, 0.7455945, -1.9262094, -0.9542053, -0.5706013, -0.15103018, -2.433105, 0.09104172, -2.1057951, 0.5943081]"
148,claude-3-5-haiku-20241022,"[0.32261825, 0.019634591, -1.0599581, 0.34200922, 0.060499214, -0.34216377, -0.53448087, 0.4499927, 0.17725621, -0.27872926, -0.19418623, -0.096082605, -0.28476182, 0.043173574, -0.895387, -0.44508022, 0.78279936, 0.04714567, 1.4270467, 0.3034126]"
149,claude-3-5-sonnet-20240620,"[-0.42364034, 0.56744605, -0.74427193, 0.14025998, 0.5546158, 0.054919142, 0.39167324, 0.83401716, -0.03931261, -0.9303396, 0.021775458, 0.479558, 0.37539238, 0.07389808, -0.14632282, -0.2341599, 1.4063412, 1.4339207, 1.0472164, 0.2462694]"
150,claude-3-5-sonnet-20241022,"[-0.078123376, -0.57696015, -0.10707981, 0.07762436, 0.3276128, -0.20170845, 0.4125357, -0.3867579, 0.6252101, 0.3294939, 0.1897231, 0.53654957, 0.6328497, -0.9000513, -0.3296403, -0.3295558, 1.5488665, 0.2031318, 0.9007785, -0.700101]"
151,claude-3-7-sonnet-20250219,"[0.60390687, -0.14413984, 0.70513463, -0.06673668, 0.37450042, 0.38969007, 0.2495492, -0.19386674, -0.022501748, 0.26708657, 0.31381136, 0.6717396, 0.3608278, -0.11574147, 0.015958898, 0.35837165, 0.37449065, 0.27251443, 1.4509953, 0.09676149]"
152,claude-3-haiku-20240307,"[0.3730271, 0.25533473, -2.6022344, 0.13542786, -0.22972837, -0.008490649, 0.38923258, 0.313464, 0.30469444, -0.21116681, 0.4481693, 0.046544716, 0.3684389, 0.69086313, 0.68451834, -0.26888385, 0.13722822, 0.7485681, -0.23911561, 0.17685802]"
153,claude-3-opus-20240229,"[1.0818124, 0.68772, -1.6103013, -0.66918886, 0.5568161, -0.11964861, 0.4865558, -0.17281362, 0.84813297, -0.034395076, 0.17710856, -0.18752816, -0.45531824, -0.07184116, 1.0347624, 0.44601208, 0.7978216, 1.6986034, 1.5634545, -0.9049898]"
154,claude-3-sonnet-20240229,"[-0.51188576, -0.84312826, -2.4733677, -0.1425855, -0.3814709, 0.65189856, -0.3350379, 0.12035056, 0.07839635, -0.27188754, -0.07392274, 0.2025663, -0.18709958, 0.4079712, 0.6585327, -0.28355366, 0.036226958, 1.8769915, 0.7669533, 0.17702265]"
155,claude-haiku-4-5-20251001,"[0.7633744, -0.07092792, 0.60559344, 1.3518556, -0.124853835, 0.78632027, 0.40009823, -0.15900998, 0.4626037, 0.03856053, 0.12521826, 0.3782081, -0.3423801, -0.3299539, 0.034184996, -0.01599955, 1.1742924, 0.42460617, 1.5702115, 0.4378053]"
156,claude-opus-4-1-20250805,"[0.86395377, 0.057488956, 1.2159395, 0.494244, 0.35156855, 1.2258676, 0.06307759, -0.094121076, -0.11428114, -0.123722635, -0.292857, 0.6190886, 0.7062871, 0.30022213, 0.14898458, -0.27055177, 0.38317898, 0.71038413, 1.2824196, -0.47586852]"
157,claude-opus-4-20250514,"[0.17777254, 0.34857544, 1.2734452, 0.053498488, 0.41352117, 0.729919, -0.31931645, 0.34243438, 0.40001246, -0.077501155, 0.0018148626, 0.20006146, 0.1771645, -0.50542355, -1.0145309, 0.32256138, 1.2859231, -0.119917005, 0.08662337, 0.046077736]"
158,claude-opus-4-5-20251101_64K_high,"[1.886798, 0.3285859, 2.9510317, -0.04501267, 0.2470719, 0.35625434, -0.18257634, 1.140962, 0.54965293, 0.14633082, 0.9345397, 0.36029044, -0.1313762, -0.0038943072, -0.42907265, -0.04157467, 1.2564013, 0.42564502, 1.0864234, 0.20099308]"
159,claude-opus-4-6_adaptive_max,"[3.1195338, -0.31203684, 4.3502836, 0.0139240185, -0.025710203, -0.1662534, -0.3764673, 1.0952185, 0.46080023, -0.049444325, -0.17083107, 0.75925815, 0.033425096, 0.1833547, 0.57227093, -0.12085466, 1.2292515, 0.9344513, 1.2310854, 0.058312654]"
160,claude-opus-4-6_max,"[3.2086282, 0.84039104, 3.441975, 0.4818623, -0.38913608, 0.361563, 0.23327781, 0.2605211, 0.87054026, 0.74556005, 0.04063527, 1.0566083, 0.43220404, -0.30923665, -0.41249388, 0.43563125, 0.88066137, -1.0091835, 3.1745627, 0.032880675]"
161,claude-opus-4-7_adaptive_max,"[3.4161098, 0.22479704, 4.9787374, 0.21319546, 0.01106198, 0.022171527, -0.19807035, 0.97253233, 1.1067495, -0.06168047, 0.20689394, 1.2351228, -0.1585949, 0.4110102, 0.34534103, -0.2724007, 1.3997908, 0.48184517, 2.2535367, -0.1439385]"
162,claude-sonnet-4-20250514,"[0.11868554, 0.51653594, 0.97089076, 0.44243637, 0.5216138, 0.95287514, -0.22963786, -0.013356929, 0.34225383, 0.15361801, 0.12793937, 0.315335, -0.2972499, 0.1238592, -1.3994706, -0.09755728, 0.7235413, -0.70177716, 1.0559511, -0.29767203]"
163,claude-sonnet-4-5-20250929,"[0.67903906, -0.08875525, 1.0733012, -0.3342452, 0.065560415, 1.7145146, 0.17325269, 0.31733972, 0.04108694, 0.14941819, -0.31522033, -0.3461995, 1.0340829, 0.8359368, -0.21938036, 0.1965555, 1.3566718, 0.1810476, 1.7956138, -0.24769723]"
164,claude-sonnet-4-5-20250929_32K,"[0.63578796, 0.35110086, 2.8408904, -0.31517735, -0.26941243, -0.13824639, -0.65178156, 0.007239357, -1.5355915, 0.56517655, 0.03159195, 0.06612485, 0.05434257, -0.0362903, 0.2943699, -0.20434986, -0.09271433, 0.59318084, 1.5902084, -0.046030104]"
165,claude-sonnet-4-6_adaptive_max,"[2.7848306, -0.53021455, 3.4587238, 0.13349903, 0.07918427, 0.13670701, -0.25559723, 1.0525852, 0.39001662, -0.07300853, -0.15538809, 0.56638944, -0.12858842, -0.02038432, 0.11822043, 0.29956338, 0.6914585, 1.2038243, 1.6859717, -0.28100848]"
166,falcon-180B,"[1.2784526, 0.9832096, 0.13499558, 0.0726014, 0.47392607, -0.7670905, -0.40017042, 0.07241091, -1.7053776, -0.12200461, 0.07319642, 0.71452576, -1.6140769, 2.7767355, 0.29906192, -0.36255533, -1.2118484, -0.30324253, 1.4862489, 0.12374109]"
167,falcon-40b,"[1.580869, 0.480278, -0.052438725, 0.20149408, 1.611998, 2.3602192, 0.4470325, 0.19691488, 0.2823935, -0.34140915, -0.54315436, 2.3467648, -2.8943808, 0.32329273, 0.31691107, -1.3454324, -2.1972773, -0.36893386, 0.046259798, -1.3838286]"
168,falcon-7b,"[0.7783499, 0.5415109, -0.8165341, 1.0977858, -0.58376616, -1.0483917, 0.08998476, 1.6442679, 0.21968311, -1.5998809, 0.8318147, -2.8917985, -3.7986012, -0.263836, -0.052389648, 0.8659152, -3.582011, -0.22356017, -0.19599207, -1.2465601]"
169,gemini-1.0-pro-001,"[0.7247807, -0.08257112, -3.0266056, 0.68707436, 0.5643407, 0.053254712, 0.16085434, 0.34034467, -0.91537756, -0.59375, -0.25414816, 0.32709593, 1.1353016, -0.38771915, 1.578141, -0.21355094, -0.27739412, 1.5885624, -0.45311344, -0.05835275]"
170,gemini-1.5-flash-001,"[0.6993484, 0.10756183, -1.9993213, 0.5930481, 1.349403, -0.20838231, -0.21074784, 0.12830076, -0.71748793, -0.1886587, -0.26779848, 0.27122527, 0.17591688, -0.21321502, 0.85568476, 0.29152694, 0.55543256, -0.2142237, 1.2470342, -0.25068045]"
171,gemini-1.5-flash-002,"[-0.66255784, 0.18620367, -0.9007332, -0.023811325, 0.70886564, 0.12609723, -0.22750926, -0.8067706, 0.46568662, -0.41120157, 0.30325872, 0.07036062, -0.10391193, 0.7067327, 0.9744676, -0.31548643, 0.26697248, -0.5722423, 1.7032725, 0.72694516]"
172,gemini-1.5-flash-8b-001,"[0.33144873, 4.3090124, -1.6058244, -0.0718343, 0.21437924, 0.2766159, 0.11331605, -0.5793424, 0.110231966, 0.37895507, 0.38733578, 0.18574871, -0.21209982, 0.07899018, 0.2569763, -0.6883454, 0.37818494, -0.47680625, 0.19548893, 0.28686765]"
173,gemini-1.5-pro-001,"[-0.7607047, -0.66620374, -1.5727226, 0.56167156, 1.2661717, -0.13186021, 0.42807567, -0.15686628, -0.1863792, -0.5947719, 0.70786434, 0.8042348, 0.023085078, -0.8803835, 0.46469977, -0.29764014, 1.4685214, -1.6752623, 1.3240267, 0.19633114]"
