event_id,event_label,family,event_date,tag,pre_days,pre_model_count,event_model_count,pre_mean,event_mean,jump,pct_jump,z_score,pre_std,event_models
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Format-Familiarity,180,2,1,0.003450064074898279,0.003015709200122806,-0.00043435487477547306,-0.12589762547766,-1.9958389248578763,0.00021763022524796358,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Search-Load,180,2,1,0.003535773479591452,0.003848811947029485,0.000313038467438033,0.08853464998391347,1.9599982120492172,0.00015971364948886614,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Logical-Control,180,2,1,0.0035766562552869657,0.0038809171223234446,0.00030426086703647885,0.08506852359287378,1.8064956614629946,0.0001684260159197241,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Verbal-Language,180,2,1,0.0035766562552869657,0.0038809171223234446,0.00030426086703647885,0.08506852359287378,1.8064956614629946,0.0001684260159197241,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Quantitative-Formal,180,2,1,0.0035592717415335717,0.003885820496642548,0.0003265487551089765,0.09174594659307399,2.033397131446244,0.0001605927096379448,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Math,180,2,1,0.003282945332152034,0.002824478662569452,-0.0004584666695825819,-0.13965102162759688,-2.048253957027086,0.00022383292267528094,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Abstraction-Learning,180,2,1,0.0035541018154380422,0.003849056783042939,0.00029495496760489686,0.08299001630276699,1.6375755646539212,0.00018011685932015694,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Social-Mind,180,2,1,0.0017672793969157326,0.0015632043949806176,-0.000204075001935115,-0.11547410233563975,-1.7167416511582418,0.00011887344947763736,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Commonsense,180,2,1,0.0021867838737220525,0.0019011725412407625,-0.00028561133248128996,-0.13060793794640546,-2.7163931107498973,0.0001051435933006188,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Instruction-Constrained,180,2,1,0.0033995855645533877,0.002945580572584611,-0.0004540049919687767,-0.13354715842500658,-2.004305161590289,0.00022651490435146736,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Social-Humanities,180,2,1,0.001658054309161095,0.001474160257766909,-0.00018389405139418598,-0.11090954643532067,-1.7982461870665307,0.00010226300087096047,DeepSeek-R1
